"",BBK01.OEBM02N,BBK01.OEBM02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:24,
2002-01,0.349,
2002-04,0.417,
2002-07,0.339,
2002-10,0.577,
2003-01,0.453,
2003-04,0.710,
2003-07,0.567,
2003-10,0.918,
2004-01,0.757,
2004-04,0.722,
2004-07,0.948,
2004-10,0.316,
2005-01,0.492,
2005-04,0.519,
2005-07,0.462,
2005-10,0.453,
2006-01,0.618,
2006-04,0.822,
2006-07,1.129,
2006-10,0.753,
2007-01,1.129,
2007-04,0.571,
2007-07,0.971,
2007-10,1.152,
2008-01,1.560,
2008-04,2.647,
2008-07,2.407,
2008-10,1.615,
2009-01,1.587,
2009-04,2.125,
2009-07,1.780,
2009-10,1.246,
2010-01,1.299,
2010-04,1.878,
2010-07,1.255,
2010-10,1.616,
2011-01,1.734,
2011-04,1.925,
2011-07,2.088,
2011-10,1.345,
2012-01,1.804,
2012-04,2.638,
2012-07,2.120,
2012-10,4.372,
2013-01,4.049,
2013-04,4.722,
2013-07,3.907,
2013-10,2.801,
2014-01,4.586,
2014-04,3.637,
2014-07,3.701,
