"",BBK01.OELI01U,BBK01.OELI01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:31,
2002-01,4.669,
2002-04,4.582,
2002-07,4.605,
2002-10,4.765,
2003-01,4.694,
2003-04,4.671,
2003-07,4.705,
2003-10,4.821,
2004-01,4.801,
2004-04,4.774,
2004-07,4.767,
2004-10,5.121,
2005-01,5.004,
2005-04,5.001,
2005-07,4.998,
2005-10,5.110,
2006-01,5.068,
2006-04,5.035,
2006-07,5.035,
2006-10,5.061,
2007-01,5.012,
2007-04,5.044,
2007-07,5.121,
2007-10,5.258,
2008-01,5.259,
2008-04,5.222,
2008-07,5.373,
2008-10,5.439,
2009-01,5.394,
2009-04,5.442,
2009-07,5.491,
2009-10,5.706,
2010-01,5.676,
2010-04,5.728,
2010-07,5.791,
2010-10,5.962,
2011-01,5.863,
2011-04,5.890,
2011-07,5.969,
2011-10,6.131,
2012-01,6.100,
2012-04,6.101,
2012-07,6.251,
2012-10,6.348,
2013-01,6.388,
2013-04,6.413,
2013-07,6.528,
2013-10,6.719,
2014-01,6.628,
2014-04,6.623,
2014-07,6.815,
