"",BBFB1.Q.N.DE.PT.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.PT.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:32,
1991-01,-0.241,
1991-04,-0.025,
1991-07,0.064,
1991-10,-0.106,
1992-01,-0.072,
1992-04,-0.286,
1992-07,0.019,
1992-10,-0.240,
1993-01,-0.119,
1993-04,-0.131,
1993-07,0.244,
1993-10,-0.359,
1994-01,1.085,
1994-04,1.019,
1994-07,4.296,
1994-10,-16.229,
1995-01,-0.822,
1995-04,0.424,
1995-07,-7.935,
1995-10,-18.409,
1996-01,-16.394,
1996-04,-8.368,
1996-07,5.355,
1996-10,-10.730,
1997-01,-81.994,
1997-04,15.973,
1997-07,-11.544,
1997-10,-14.590,
1998-01,-39.518,
1998-04,1.649,
1998-07,12.777,
1998-10,-17.708,
1999-01,-4.437,
1999-04,-1.245,
1999-07,-12.406,
1999-10,-12.402,
2000-01,-17.750,
2000-04,-17.421,
2000-07,8.402,
2000-10,2.256,
2001-01,-22.766,
2001-04,-5.429,
2001-07,16.275,
2001-10,-44.307,
2002-01,-39.028,
2002-04,42.518,
2002-07,34.758,
2002-10,131.361,
2003-01,9.440,
2003-04,12.316,
2003-07,48.145,
2003-10,-130.391,
2004-01,45.499,
2004-04,75.407,
2004-07,39.254,
2004-10,-12.556,
2005-01,-3.946,
2005-04,-9.389,
2005-07,-52.690,
2005-10,-71.150,
2006-01,-11.595,
2006-04,35.523,
2006-07,-20.620,
2006-10,-41.889,
2007-01,-1.997,
2007-04,-115.431,
2007-07,1.091,
2007-10,-55.665,
2008-01,10.404,
2008-04,19.180,
2008-07,-42.126,
2008-10,38.563,
2009-01,28.682,
2009-04,73.104,
2009-07,-13.090,
2009-10,6.820,
2010-01,24.779,
2010-04,-75.101,
2010-07,51.771,
2010-10,27.168,
2011-01,10.636,
2011-04,-55.853,
2011-07,-25.773,
2011-10,3.223,
2012-01,-0.520,
2012-04,-46.042,
2012-07,-26.312,
2012-10,3.082,
2013-01,22.160,
2013-04,-62.727,
2013-07,-29.311,
2013-10,-49.738,
2014-01,-26.150,Provisional value
2014-04,8.366,Provisional value
2014-07,-22.680,Provisional value
2014-10,-15.014,Provisional value
