"",BBFB1.Q.N.DE.S1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:24,
1991-01,143.705,
1991-04,127.223,
1991-07,93.941,
1991-10,69.045,
1992-01,95.301,
1992-04,129.562,
1992-07,271.477,
1992-10,144.307,
1993-01,455.966,
1993-04,494.695,
1993-07,484.991,
1993-10,482.766,
1994-01,389.163,
1994-04,412.169,
1994-07,388.535,
1994-10,387.665,
1995-01,577.008,
1995-04,646.097,
1995-07,577.026,
1995-10,571.012,
1996-01,275.760,
1996-04,299.886,
1996-07,282.270,
1996-10,287.763,
1997-01,182.551,
1997-04,210.429,
1997-07,195.978,
1997-10,167.371,
1998-01,332.662,
1998-04,582.841,
1998-07,363.474,
1998-10,377.778,
1999-01,444.842,
1999-04,516.894,
1999-07,473.600,
1999-10,478.868,
2000-01,94.065,
2000-04,178.928,
2000-07,111.138,
2000-10,-54.674,
2001-01,276.821,
2001-04,388.759,
2001-07,328.975,
2001-10,304.216,
2002-01,175.679,
2002-04,156.052,
2002-07,169.623,
2002-10,168.302,
2003-01,238.879,
2003-04,316.289,
2003-07,288.723,
2003-10,291.995,
2004-01,201.213,
2004-04,163.008,
2004-07,111.860,
2004-10,120.416,
2005-01,89.484,
2005-04,108.108,
2005-07,72.130,
2005-10,617.431,
2006-01,690.191,
2006-04,696.847,
2006-07,649.382,
2006-10,640.883,
2007-01,414.109,
2007-04,477.426,
2007-07,412.560,
2007-10,414.428,
2008-01,542.991,
2008-04,594.066,
2008-07,515.402,
2008-10,523.885,
2009-01,634.146,
2009-04,631.650,
2009-07,586.438,
2009-10,640.671,
2010-01,797.980,
2010-04,878.736,
2010-07,893.274,
2010-10,963.214,
2011-01,350.291,
2011-04,444.992,
2011-07,390.533,
2011-10,370.851,
2012-01,198.794,
2012-04,311.760,
2012-07,191.521,
2012-10,184.373,
2013-01,1021.663,
2013-04,1067.785,
2013-07,1025.310,
2013-10,1162.724,
2014-01,491.168,Provisional value
2014-04,555.745,Provisional value
2014-07,535.990,Provisional value
