"",BBFB1.M.N.DE.W1.S12K.S1.T.C.D4P.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12K.S1.T.C.D4P.O.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Other Investment income / Monetary financial institutes / Dividends on shares / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:46,
1991-01,2020.703,
1991-02,2028.165,
1991-03,1968.659,
1991-04,1956.413,
1991-05,1998.125,
1991-06,1957.726,
1991-07,1992.335,
1991-08,2005.082,
1991-09,2045.163,
1991-10,1994.864,
1991-11,1998.803,
1991-12,1988.405,
1992-01,2022.840,
1992-02,2003.607,
1992-03,2008.027,
1992-04,2020.431,
1992-05,2034.659,
1992-06,2067.360,
1992-07,2058.245,
1992-08,2047.086,
1992-09,2066.205,
1992-10,2068.192,
1992-11,2041.705,
1992-12,2064.802,
1993-01,2075.559,
1993-02,2034.522,
1993-03,2003.626,
1993-04,1955.256,
1993-05,1839.836,
1993-06,1831.565,
1993-07,1781.053,
1993-08,1714.138,
1993-09,1644.514,
1993-10,1590.324,
1993-11,1563.654,
1993-12,1519.415,
1994-01,1458.235,
1994-02,1465.866,
1994-03,1442.640,
1994-04,1465.600,
1994-05,1493.173,
1994-06,1466.992,
1994-07,1506.731,
1994-08,1567.611,
1994-09,1594.405,
1994-10,1625.987,
1994-11,1647.499,
1994-12,1657.970,
1995-01,1679.602,
1995-02,1700.928,
1995-03,1742.528,
1995-04,1690.464,
1995-05,1724.970,
1995-06,1727.290,
1995-07,1694.133,
1995-08,1668.628,
1995-09,1653.880,
1995-10,1633.921,
1995-11,1607.558,
1995-12,1605.375,
1996-01,1556.858,
1996-02,1515.932,
1996-03,1502.104,
1996-04,1524.375,
1996-05,1491.587,
1996-06,1492.777,
1996-07,1614.400,
1996-08,1654.138,
1996-09,1661.697,
1996-10,1666.680,
1996-11,1726.926,
1996-12,1752.506,
1997-01,1776.603,
1997-02,1779.995,
1997-03,1802.536,
1997-04,1827.053,
1997-05,1858.909,
1997-06,1894.487,
1997-07,1829.524,
1997-08,1794.582,
1997-09,1815.451,
1997-10,1836.482,
1997-11,1816.133,
1997-12,1806.129,
1998-01,1693.020,
1998-02,1710.386,
1998-03,1723.354,
1998-04,1715.483,
1998-05,1701.445,
1998-06,1721.256,
1998-07,1773.600,
1998-08,1758.431,
1998-09,1745.380,
1998-10,1712.236,
1998-11,1730.533,
1998-12,1758.271,
1999-01,1735.073,
1999-02,1776.885,
1999-03,1761.535,
1999-04,1802.205,
1999-05,1829.424,
1999-06,1828.237,
1999-07,1848.305,
1999-08,1985.987,
1999-09,2048.924,
1999-10,2183.253,
1999-11,2276.886,
1999-12,2335.526,
2000-01,2428.102,
2000-02,2553.952,
2000-03,2643.244,
2000-04,2677.591,
2000-05,2752.879,
2000-06,2806.547,
2000-07,2879.988,
2000-08,2891.173,
2000-09,2894.888,
2000-10,2933.676,
2000-11,2904.521,
2000-12,2876.847,
2001-01,2755.437,
2001-02,2784.057,
2001-03,2708.983,
2001-04,2632.308,
2001-05,2554.476,
2001-06,2517.877,
2001-07,2380.102,
2001-08,2346.518,
2001-09,2325.310,
2001-10,2180.680,
2001-11,2134.305,
2001-12,2132.434,
2002-01,2182.592,
2002-02,2164.676,
2002-03,2196.320,
2002-04,2223.830,
2002-05,2291.643,
2002-06,2282.540,
2002-07,2304.507,
2002-08,2269.535,
2002-09,2290.444,
2002-10,2338.208,
2002-11,2333.459,
2002-12,2304.048,
2003-01,2355.337,
2003-02,2287.484,
2003-03,2223.860,
2003-04,2209.040,
2003-05,2190.945,
2003-06,2169.541,
2003-07,2169.829,
2003-08,2149.747,
2003-09,2114.076,
2003-10,2063.680,
2003-11,2067.692,
2003-12,2096.876,
2004-01,2067.001,
2004-02,2078.847,
2004-03,2123.143,
2004-04,2089.580,
2004-05,2084.834,
2004-06,2161.558,
2004-07,2215.937,
2004-08,2268.385,
2004-09,2330.715,
2004-10,2394.461,
