"",BBK01.OEAG01J,BBK01.OEAG01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:17,
2002-01,1.097,
2002-04,1.327,
2002-07,1.843,
2002-10,1.818,
2003-01,1.576,
2003-04,1.411,
2003-07,1.533,
2003-10,1.641,
2004-01,1.553,
2004-04,1.877,
2004-07,1.745,
2004-10,1.868,
2005-01,2.483,
2005-04,2.259,
2005-07,2.179,
2005-10,2.223,
2006-01,2.202,
2006-04,2.136,
2006-07,2.116,
2006-10,2.166,
2007-01,1.799,
2007-04,1.652,
2007-07,1.478,
2007-10,1.514,
2008-01,1.581,
2008-04,1.545,
2008-07,1.553,
2008-10,1.363,
2009-01,1.582,
2009-04,1.295,
2009-07,1.350,
2009-10,1.073,
2010-01,1.050,
2010-04,1.140,
2010-07,1.065,
2010-10,1.025,
2011-01,0.994,
2011-04,1.031,
2011-07,0.957,
2011-10,0.927,
2012-01,1.086,
2012-04,1.173,
2012-07,1.073,
2012-10,0.278,
2013-01,0.536,
2013-04,0.382,
2013-07,0.271,
2013-10,0.343,
2014-01,0.454,
2014-04,0.338,
2014-07,0.676,
