"",BBFN1.M.DE.N.1.L.A1.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.A1.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Countries in America,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:20,
1995-01,0.522,
1995-02,0.719,
1995-03,0.681,
1995-04,0.725,
1995-05,0.709,
1995-06,0.625,
1995-07,0.677,
1995-08,0.697,
1995-09,0.704,
1995-10,0.859,
1995-11,0.679,
1995-12,0.649,
1996-01,0.793,
1996-02,0.831,
1996-03,0.961,
1996-04,1.223,
1996-05,1.692,
1996-06,1.551,
1996-07,0.749,
1996-08,0.834,
1996-09,0.641,
1996-10,1.100,
1996-11,0.666,
1996-12,0.637,
1997-01,0.853,
1997-02,0.715,
1997-03,0.781,
1997-04,0.846,
1997-05,0.995,
1997-06,2.073,
1997-07,2.571,
1997-08,1.040,
1997-09,0.892,
1997-10,1.000,
1997-11,1.049,
1997-12,1.081,
1998-01,1.061,
1998-02,1.063,
1998-03,0.993,
1998-04,0.930,
1998-05,1.050,
1998-06,1.103,
1998-07,1.775,
1998-08,1.226,
1998-09,1.022,
1998-10,0.974,
1998-11,0.999,
1998-12,1.118,
1999-01,1.815,
1999-02,1.901,
1999-03,1.869,
1999-04,1.727,
1999-05,1.942,
1999-06,1.824,
1999-07,1.811,
1999-08,1.872,
1999-09,1.765,
1999-10,4.816,
1999-11,5.027,
1999-12,1.616,
2000-01,1.632,
2000-02,1.790,
2000-03,1.926,
2000-04,2.159,
2000-05,1.975,
2000-06,1.596,
2000-07,1.927,
2000-08,1.484,
2000-09,1.418,
2000-10,1.406,
2000-11,1.426,
2000-12,1.599,
2001-01,1.683,
2001-02,1.610,
2001-03,2.637,
2001-04,2.641,
2001-05,2.348,
2001-06,2.250,
2001-07,2.220,
2001-08,1.669,
2001-09,1.667,
2001-10,1.401,
2001-11,1.460,
2001-12,1.290,
2002-01,0.727,
2002-02,1.012,
2002-03,1.096,
2002-04,0.972,
2002-05,1.046,
2002-06,0.676,
2002-07,0.637,
2002-08,0.613,
2002-09,0.611,
2002-10,0.681,
2002-11,0.630,
2002-12,0.657,
2003-01,0.724,
2003-02,0.752,
2003-03,0.605,
2003-04,0.606,
2003-05,0.597,
2003-06,0.351,
2003-07,0.411,
2003-08,0.372,
2003-09,0.383,
2003-10,0.412,
2003-11,0.416,
2003-12,0.425,
2004-01,1.250,
2004-02,1.260,
2004-03,1.409,
2004-04,0.677,
2004-05,0.690,
2004-06,0.744,
2004-07,0.638,
2004-08,0.658,
2004-09,0.751,
2004-10,0.719,
2004-11,0.846,
2004-12,0.871,
2005-01,0.836,
2005-02,0.692,
2005-03,0.803,
2005-04,0.598,
2005-05,0.608,
2005-06,0.628,
2005-07,0.673,
2005-08,0.638,
2005-09,0.716,
2005-10,0.628,
2005-11,0.612,
2005-12,0.896,
2006-01,0.841,
2006-02,0.774,
2006-03,0.688,
2006-04,0.689,
2006-05,0.663,
2006-06,0.873,
2006-07,0.838,
2006-08,0.887,
2006-09,0.859,
2006-10,0.751,
2006-11,0.729,
2006-12,0.665,
2007-01,0.576,
2007-02,0.540,
2007-03,0.614,
2007-04,0.578,
2007-05,0.573,
2007-06,0.546,
2007-07,0.616,
2007-08,0.625,
2007-09,0.594,
2007-10,0.795,
2007-11,0.540,
2007-12,1.003,
2008-01,0.666,
2008-02,0.649,
2008-03,0.716,
2008-04,0.696,
2008-05,0.891,
2008-06,1.135,
2008-07,0.704,
2008-08,0.571,
2008-09,0.614,
2008-10,0.638,
2008-11,0.693,
2008-12,0.730,
2009-01,0.804,
2009-02,0.843,
2009-03,0.808,
2009-04,0.719,
2009-05,0.927,
2009-06,0.714,
2009-07,0.694,
2009-08,0.684,
2009-09,0.686,
2009-10,0.627,
2009-11,0.603,
2009-12,0.584,
2010-01,0.430,
2010-02,0.443,
2010-03,0.454,
2010-04,0.452,
2010-05,0.463,
2010-06,0.485,
2010-07,0.413,
2010-08,0.421,
2010-09,0.485,
2010-10,0.471,
2010-11,0.522,
2010-12,0.570,
2011-01,0.594,
2011-02,0.636,
2011-03,0.563,
2011-04,0.680,
2011-05,0.556,
2011-06,0.889,
2011-07,1.163,
2011-08,0.942,
2011-09,0.550,
2011-10,0.487,
2011-11,0.572,
2011-12,0.615,
2012-01,0.570,
2012-02,0.511,
2012-03,0.574,
2012-04,0.694,
2012-05,1.120,
2012-06,1.015,
2012-07,0.952,
2012-08,0.801,
2012-09,0.747,
2012-10,0.681,
2012-11,0.545,
2012-12,0.545,
2013-01,0.435,
2013-02,0.428,
2013-03,0.505,
2013-04,0.410,
2013-05,0.431,
2013-06,0.479,
2013-07,0.306,
2013-08,0.306,
2013-09,0.452,
2013-10,0.433,
2013-11,0.251,
2013-12,0.479,
2014-01,0.280,
2014-02,0.269,
2014-03,0.339,
2014-04,0.332,
2014-05,0.669,
2014-06,0.683,
2014-07,0.688,
2014-08,0.638,
2014-09,0.310,
2014-10,0.335,
2014-11,0.323,
2014-12,0.303,
"",General: Up to December including Niederl.Antillen,
