"",BBK01.OEAC18H,BBK01.OEAC18H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:31,
2002-01,0.591,
2002-04,1.052,
2002-07,0.810,
2002-10,0.647,
2003-01,0.478,
2003-04,0.539,
2003-07,0.370,
2003-10,0.384,
2004-01,0.268,
2004-04,0.303,
2004-07,0.300,
2004-10,0.295,
2005-01,0.291,
2005-04,0.318,
2005-07,0.287,
2005-10,0.213,
2006-01,0.231,
2006-04,0.289,
2006-07,0.386,
2006-10,0.193,
2007-01,0.214,
2007-04,0.289,
2007-07,0.306,
2007-10,0.324,
2008-01,0.339,
2008-04,0.411,
2008-07,0.332,
2008-10,0.417,
2009-01,0.476,
2009-04,0.482,
2009-07,0.485,
2009-10,0.489,
2010-01,0.546,
2010-04,0.711,
2010-07,0.523,
2010-10,0.556,
2011-01,0.475,
2011-04,0.454,
2011-07,0.648,
2011-10,0.646,
2012-01,0.733,
2012-04,0.839,
2012-07,0.976,
2012-10,1.037,
2013-01,0.852,
2013-04,0.716,
2013-07,0.873,
2013-10,0.632,
2014-01,0.536,
2014-04,0.477,
2014-07,0.499,
