"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.B000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.B000.Z06.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign banks arising from financial operations / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:31,
1971-12,0.016,
1972-01,0.035,
1972-02,0.035,
1972-03,0.017,
1972-04,0.012,
1972-05,0.012,
1972-06,0.011,
1972-07,0.011,
1972-08,0.013,
1972-09,0.012,
1972-10,0.012,
1972-11,0.012,
1972-12,0.012,
1973-01,0.011,
1973-02,0.018,
1973-03,0.018,
1973-04,0.020,
1973-05,0.031,
1973-06,0.025,
1973-07,0.024,
1973-08,0.030,
1973-09,0.029,
1973-10,0.027,
1973-11,0.030,
1973-12,0.034,
1974-01,0.034,
1974-02,0.034,
1974-03,0.032,
1974-04,0.032,
1974-05,0.032,
1974-06,0.030,
1974-07,0.031,
1974-08,0.029,
1974-09,0.030,
1974-10,0.032,
1974-11,0.033,
1974-12,0.033,
1975-01,0.027,
1975-02,0.026,
1975-03,0.033,
1975-04,0.035,
1975-05,0.031,
1975-06,0.030,
1975-07,0.031,
1975-08,0.031,
1975-09,0.031,
1975-10,0.025,
1975-11,0.021,
1975-12,0.019,
1976-01,0.026,
1976-02,0.039,
1976-03,0.039,
1976-04,0.040,
1976-05,0.040,
1976-06,0.043,
1976-07,0.043,
1976-08,0.046,
1976-09,0.047,
1976-10,0.047,
1976-11,0.047,
1976-12,0.041,
1977-01,0.040,
1977-02,0.038,
1977-03,0.040,
1977-04,0.040,
1977-05,0.039,
1977-06,0.040,
1977-07,0.039,
1977-08,0.040,
1977-09,0.040,
1977-10,0.043,
1977-11,0.040,
1977-12,0.040,
1978-01,0.041,
1978-02,0.040,
1978-03,0.048,
1978-04,0.037,
1978-05,0.041,
1978-06,0.039,
1978-07,0.036,
1978-08,0.038,
1978-09,0.036,
1978-10,0.036,
1978-11,0.037,
1978-12,0.042,
1979-01,0.040,
1979-02,0.043,
1979-03,0.043,
1979-04,0.037,
1979-05,0.036,
1979-06,0.030,
1979-07,0.026,
1979-08,0.026,
1979-09,0.038,
1979-10,0.037,
1979-11,0.044,
1979-12,0.040,
1980-01,0.050,
1980-02,0.043,
1980-03,0.053,
1980-04,0.057,
1980-05,0.059,
1980-06,0.059,
1980-07,0.050,
1980-08,0.061,
1980-09,0.060,
1980-10,0.063,
1980-11,0.053,
1980-12,0.051,
1981-01,0.047,
1981-02,0.051,
1981-03,0.058,
1981-04,0.057,
1981-05,0.090,
1981-06,0.089,
1981-07,0.089,
1981-08,0.096,
1981-09,0.087,
1981-10,0.089,
1981-11,0.090,
1981-12,0.094,
1982-01,0.088,
1982-02,0.075,
1982-03,0.074,
1982-04,0.076,
1982-05,0.077,
1982-06,0.080,
1982-07,0.079,
1982-08,0.090,
1982-09,0.058,
1982-10,0.063,
1982-11,0.065,
1982-12,0.085,
1983-01,0.087,
1983-02,0.086,
1983-03,0.084,
1983-04,0.080,
1983-05,0.070,
1983-06,0.070,
1983-07,0.078,
1983-08,0.078,
1983-09,0.084,
1983-10,0.085,
1983-11,0.084,
1983-12,0.087,
1984-01,0.098,
1984-02,0.096,
1984-03,0.101,
1984-04,0.092,
1984-05,0.095,
1984-06,0.094,
1984-07,0.097,
1984-08,0.103,
1984-09,0.098,
1984-10,0.096,
1984-11,0.097,
1984-12,0.097,
1985-01,0.103,
1985-02,0.114,
1985-03,0.106,
1985-04,0.107,
1985-05,0.107,
1985-06,0.121,
1985-07,0.122,
1985-08,0.122,
1985-09,0.105,
1985-10,0.101,
1985-11,0.105,
1985-12,0.132,
1986-01,0.102,
1986-02,0.094,
1986-03,0.074,
1986-04,0.088,
1986-05,0.087,
1986-06,0.087,
1986-07,0.090,
1986-08,0.087,
1986-09,0.083,
1986-10,0.084,
1986-11,0.084,
1986-12,0.067,
1987-01,0.055,
1987-02,0.054,
1987-03,0.053,
1987-04,0.052,
1987-05,0.053,
1987-06,0.055,
1987-07,0.052,
1987-08,0.051,
1987-09,0.056,
1987-10,0.079,
1987-11,0.079,
1987-12,0.077,
1988-01,0.078,
1988-02,0.099,
1988-03,0.104,
1988-04,0.104,
1988-05,0.107,
1988-06,0.106,
1988-07,0.116,
1988-08,0.116,
1988-09,0.113,
1988-10,0.131,
1988-11,0.120,
1988-12,0.121,
1989-01,0.124,
1989-02,0.121,
1989-03,0.165,
1989-04,0.165,
1989-05,0.176,
1989-06,0.172,
1989-07,0.155,
1989-08,0.127,
1989-09,0.142,
1989-10,0.156,
1989-11,0.168,
1989-12,0.171,
1990-01,0.175,
1990-02,0.173,
1990-03,0.173,
1990-04,0.174,
1990-05,0.169,
1990-06,0.245,
1990-07,0.245,
1990-08,0.244,
1990-09,0.258,
1990-10,0.243,
1990-11,0.242,
1990-12,0.170,
1991-01,0.174,
1991-02,0.178,
1991-03,0.195,
1991-04,0.184,
1991-05,0.189,
