"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.FI.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.FI.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Finland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:16,
2009-09,3562,
2009-10,3688,
2009-11,3948,
2009-12,4062,
2010-01,4212,
2010-02,4358,
2010-03,4498,
2010-04,4660,
2010-05,4824,
2010-06,4997,
2010-07,5031,
2010-08,5234,
2010-09,4992,
2010-10,4847,
2010-11,5280,
2010-12,5258,
2011-01,5230,
2011-02,4969,
2011-03,5032,
2011-04,5503,
2011-05,6025,
2011-06,6276,
2011-07,6895,
2011-08,7422,
2011-09,7511,
2011-10,7688,
2011-11,7596,
2011-12,7713,
2012-01,7942,
2012-02,8072,
2012-03,8271,
2012-04,8773,
2012-05,9053,
2012-06,9122,
2012-07,9459,
2012-08,9617,
2012-09,9625,
2012-10,9411,
2012-11,9460,
2012-12,9571,
2013-01,9522,
2013-02,9621,
2013-03,9525,
2013-04,9584,
2013-05,9474,
2013-06,9500,
2013-07,9510,
2013-08,9765,
2013-09,9879,
2013-10,9922,
2013-11,9806,
2013-12,9850,
2014-01,10122,
2014-02,10537,
2014-03,10634,
2014-04,10850,
2014-05,11154,
2014-06,11197,
2014-07,10987,
2014-08,11064,
2014-09,10998,
2014-10,11018,
2014-11,10932,
