"",BBK01.QUJ402,BBK01.QUJ402_FLAGS
"","Foreign branches: Liabilities to non-residents, total / Slovenia / US Dollars",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:14,
1994-01,-,Nothing exists
1994-02,0.005,
1994-03,-,Nothing exists
1994-04,0.003,
1994-05,-,Nothing exists
1994-06,0.045,
1994-07,0.072,
1994-08,0.046,
1994-09,0.024,
1994-10,0.030,
1994-11,0.023,
1994-12,0.026,
1995-01,0.070,
1995-02,0.062,
1995-03,0.062,
1995-04,0.076,
1995-05,0.069,
1995-06,0.074,
1995-07,0.050,
1995-08,0.019,
1995-09,0.013,
1995-10,0.007,
1995-11,0.022,
1995-12,0.004,
1996-01,0.012,
1996-02,0.022,
1996-03,0.014,
1996-04,0.044,
1996-05,0.011,
1996-06,0.021,
1996-07,0.050,
1996-08,0.082,
1996-09,0.079,
1996-10,0.092,
1996-11,0.031,
1996-12,0.025,
1997-01,0.065,
1997-02,0.105,
1997-03,0.128,
1997-04,0.057,
1997-05,0.055,
1997-06,0.065,
1997-07,0.032,
1997-08,0.053,
1997-09,0.022,
1997-10,0.030,
1997-11,0.065,
1997-12,0.019,
1998-01,0.026,
1998-02,0.009,
1998-03,0.022,
1998-04,0.067,
1998-05,0.110,
1998-06,0.083,
1998-07,0.053,
1998-08,0.024,
1998-09,0.048,
1998-10,0.035,
1998-11,0.001,
1998-12,0.001,
1999-01,0.004,
1999-02,0.014,
1999-03,0.003,
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,.,No value available
1999-07,0.016,
1999-08,0.005,
1999-09,0.035,
1999-10,0.025,
1999-11,0.019,
1999-12,0.022,
2000-01,0.018,
2000-02,0.014,
2000-03,0.013,
2000-04,0.015,
2000-05,0.017,
2000-06,0.024,
2000-07,0.019,
2000-08,0.015,
2000-09,0.021,
2000-10,0.030,
2000-11,0.052,
2000-12,0.018,
2001-01,0.023,
2001-02,0.066,
2001-03,0.074,
2001-04,0.035,
2001-05,0.030,
2001-06,0.044,
2001-07,0.076,
2001-08,0.041,
2001-09,0.027,
2001-10,0.026,
2001-11,0.026,
2001-12,0.038,
2002-01,0.045,
2002-02,0.027,
2002-03,0.031,
2002-04,0.027,
2002-05,0.026,
2002-06,0.050,
2002-07,0.039,
2002-08,0.051,
