"",BBK01.CEL3N0,BBK01.CEL3N0_FLAGS
"",Debt securities                                  debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:10,
1999-01,24.9,
1999-04,25.5,
1999-07,20.3,
1999-10,15.1,
2000-01,29.0,
2000-04,9.3,
2000-07,17.0,
2000-10,11.9,
2001-01,30.9,
2001-04,28.0,
2001-07,6.3,
2001-10,21.9,
2002-01,15.3,
2002-04,15.5,
2002-07,7.5,
2002-10,5.5,
2003-01,15.1,
2003-04,27.1,
2003-07,-0.5,
2003-10,7.0,
2004-01,27.1,
2004-04,30.1,
2004-07,25.9,
2004-10,15.6,
2005-01,51.5,
2005-04,44.7,
2005-07,13.6,
2005-10,34.2,
2006-01,43.0,
2006-04,52.6,
2006-07,35.2,
2006-10,35.1,
2007-01,78.0,
2007-04,64.7,
2007-07,-6.5,
2007-10,20.9,
2008-01,27.4,
2008-04,64.5,
2008-07,-5.8,
2008-10,-72.1,
2009-01,11.7,
2009-04,52.8,
2009-07,37.6,
2009-10,26.6,
2010-01,44.4,
2010-04,25.9,
2010-07,-9.2,
2010-10,86.3,
2011-01,18.0,
2011-04,13.1,
2011-07,-13.8,
2011-10,-20.2,
2012-01,40.8,
2012-04,50.7,
2012-07,20.2,
2012-10,37.9,
2013-01,12.3,
2013-04,14.3,
2013-07,12.9,
2013-10,17.2,
2014-01,28.0,
2014-04,17.1,
2014-07,6.1,
