"",BBK01.OELK05M,BBK01.OELK05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:38,
2002-01,0.027,
2002-04,0.027,
2002-07,0.027,
2002-10,0.029,
2003-01,0.028,
2003-04,0.026,
2003-07,0.026,
2003-10,0.028,
2004-01,0.027,
2004-04,0.028,
2004-07,0.029,
2004-10,0.031,
2005-01,0.031,
2005-04,0.032,
2005-07,0.032,
2005-10,0.032,
2006-01,0.033,
2006-04,0.033,
2006-07,0.032,
2006-10,0.031,
2007-01,0.029,
2007-04,0.030,
2007-07,0.027,
2007-10,0.026,
2008-01,0.024,
2008-04,0.025,
2008-07,0.024,
2008-10,0.028,
2009-01,0.029,
2009-04,0.030,
2009-07,0.035,
2009-10,0.039,
2010-01,0.045,
2010-04,0.046,
2010-07,0.047,
2010-10,0.047,
2011-01,0.049,
2011-04,0.050,
2011-07,0.053,
2011-10,0.050,
2012-01,0.049,
2012-04,0.047,
2012-07,0.045,
2012-10,0.043,
2013-01,0.043,
2013-04,0.044,
2013-07,0.042,
2013-10,0.041,
2014-01,0.044,
2014-04,0.046,
2014-07,0.042,
