"",BBK01.OEAL08L,BBK01.OEAL08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:41,
2002-01,34.065,
2002-04,33.270,
2002-07,33.724,
2002-10,35.334,
2003-01,35.838,
2003-04,35.982,
2003-07,36.127,
2003-10,36.705,
2004-01,36.655,
2004-04,36.810,
2004-07,37.044,
2004-10,37.778,
2005-01,41.105,
2005-04,41.074,
2005-07,40.765,
2005-10,41.330,
2006-01,41.138,
2006-04,40.816,
2006-07,40.034,
2006-10,39.404,
2007-01,37.913,
2007-04,36.491,
2007-07,34.614,
2007-10,33.330,
2008-01,32.001,
2008-04,31.303,
2008-07,30.266,
2008-10,30.163,
2009-01,31.064,
2009-04,32.225,
2009-07,34.155,
2009-10,36.031,
2010-01,37.699,
2010-04,35.999,
2010-07,36.858,
2010-10,38.100,
2011-01,38.777,
2011-04,37.007,
2011-07,36.741,
2011-10,36.888,
2012-01,37.227,
2012-04,37.035,
2012-07,36.938,
2012-10,37.148,
2013-01,37.100,
2013-04,37.139,
2013-07,37.188,
2013-10,37.488,
2014-01,36.893,
2014-04,36.308,
2014-07,36.028,
