"",BBK01.OEBO05M,BBK01.OEBO05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:02,
2002-01,0.017,
2002-04,0.012,
2002-07,0.013,
2002-10,0.096,
2003-01,0.013,
2003-04,0.009,
2003-07,0.010,
2003-10,0.088,
2004-01,0.007,
2004-04,0.006,
2004-07,0.007,
2004-10,0.089,
2005-01,0.007,
2005-04,0.009,
2005-07,0.013,
2005-10,0.145,
2006-01,0.012,
2006-04,0.006,
2006-07,0.009,
2006-10,0.143,
2007-01,0.060,
2007-04,0.011,
2007-07,0.014,
2007-10,0.157,
2008-01,0.024,
2008-04,0.019,
2008-07,0.022,
2008-10,0.163,
2009-01,0.022,
2009-04,0.018,
2009-07,0.024,
2009-10,0.173,
2010-01,0.016,
2010-04,0.007,
2010-07,0.010,
2010-10,0.098,
2011-01,0.005,
2011-04,0.004,
2011-07,0.009,
2011-10,0.058,
2012-01,0.010,
2012-04,0.006,
2012-07,0.010,
2012-10,0.104,
2013-01,0.015,
2013-04,0.005,
2013-07,0.004,
2013-10,0.073,
2014-01,0.003,
2014-04,0.001,
2014-07,0.002,
