"",BBK01.OUZ348,BBK01.OUZ348_FLAGS
"","Securitised debts, total, Special purpose banks",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:58:15,
1999-01,112.874,
1999-02,114.691,
1999-03,114.740,
1999-04,121.827,
1999-05,122.015,
1999-06,122.844,
1999-07,121.649,
1999-08,125.498,
1999-09,130.686,
1999-10,132.561,
1999-11,135.714,
1999-12,138.074,
2000-01,139.706,
2000-02,139.897,
2000-03,138.657,
2000-04,143.031,
2000-05,109.468,
2000-06,114.521,
2000-07,117.152,
2000-08,122.029,
2000-09,126.343,
2000-10,128.397,
2000-11,124.335,
2000-12,124.639,
2001-01,123.166,
2001-02,122.222,
2001-03,130.507,
2001-04,130.685,
2001-05,130.128,
2001-06,129.263,
2001-07,133.532,
2001-08,131.937,
2001-09,134.172,
2001-10,140.813,
2001-11,155.668,
2001-12,155.054,
2002-01,157.656,
2002-02,157.213,
2002-03,162.862,
2002-04,163.450,
2002-05,164.704,
2002-06,167.355,
2002-07,173.907,
2002-08,173.753,
2002-09,174.351,
2002-10,176.751,
2002-11,181.765,
2002-12,178.797,
2003-01,184.380,
2003-02,194.579,
2003-03,196.522,
2003-04,197.745,
2003-05,197.495,
2003-06,200.320,
2003-07,206.560,
2003-08,210.838,
2003-09,212.387,
2003-10,218.321,
2003-11,219.407,
2003-12,217.520,
2004-01,222.052,
2004-02,227.814,
2004-03,237.181,
2004-04,244.907,
2004-05,245.446,
2004-06,251.592,
2004-07,254.098,
2004-08,256.582,
2004-09,263.982,
2004-10,267.420,
2004-11,263.383,
2004-12,309.613,
2005-01,318.908,
2005-02,326.915,
2005-03,335.529,
2005-04,340.731,
2005-05,345.905,
2005-06,350.093,
2005-07,351.065,
2005-08,352.570,
2005-09,352.253,
2005-10,359.092,
2005-11,361.162,
2005-12,354.618,
2006-01,363.024,
2006-02,370.339,
2006-03,377.171,
2006-04,374.343,
2006-05,379.164,
2006-06,385.405,
2006-07,386.884,
2006-08,381.790,
2006-09,386.949,
2006-10,393.178,
2006-11,388.986,
2006-12,391.385,
2007-01,407.164,
2007-02,406.314,
2007-03,413.673,
2007-04,413.788,
2007-05,424.955,
2007-06,427.181,
2007-07,432.104,
2007-08,431.042,
2007-09,428.781,
2007-10,432.056,
2007-11,425.895,
2007-12,423.985,
2008-01,434.847,
2008-02,429.089,
2008-03,433.316,
2008-04,437.111,
2008-05,443.145,
2008-06,449.698,
2008-07,448.704,
2008-08,456.447,
2008-09,462.380,
2008-10,485.600,
2008-11,475.704,
2008-12,452.450,
2009-01,469.898,
2009-02,471.458,
2009-03,470.476,
2009-04,470.871,
2009-05,472.075,
2009-06,471.203,
2009-07,469.653,
2009-08,475.665,
2009-09,467.984,
2009-10,463.477,
2009-11,459.305,
2009-12,479.815,
2010-01,492.183,
2010-02,492.294,
2010-03,502.039,
2010-04,516.988,
2010-05,535.490,
2010-06,533.949,
2010-07,521.767,
2010-08,525.696,
2010-09,516.937,
2010-10,508.681,
2010-11,532.938,
2010-12,525.940,
2011-01,522.133,
2011-02,531.179,
2011-03,516.544,
2011-04,511.390,
2011-05,525.671,
2011-06,522.124,
2011-07,527.514,
2011-08,535.243,
2011-09,549.179,
2011-10,543.245,
2011-11,555.336,
2011-12,562.926,
2012-01,552.069,
2012-02,557.761,
2012-03,560.646,
2012-04,564.269,
2012-05,577.668,
2012-06,576.676,
2012-07,587.203,
2012-08,575.241,
2012-09,570.617,
2012-10,571.798,
2012-11,572.214,
2012-12,558.078,
2013-01,555.414,
2013-02,576.812,
2013-03,577.708,
2013-04,568.904,
2013-05,560.379,
2013-06,555.969,
2013-07,547.338,
2013-08,548.163,
2013-09,550.535,
2013-10,552.169,
2013-11,550.276,
2013-12,533.190,
2014-01,552.606,
2014-02,544.194,
2014-03,537.506,
2014-04,525.691,
2014-05,541.315,
2014-06,546.760,
2014-07,552.611,
2014-08,555.669,
2014-09,563.977,
2014-10,562.034,
2014-11,560.062,
