"",BBK01.OEHB12K,BBK01.OEHB12K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:40,
2002-01,3.328,
2002-04,3.429,
2002-07,3.472,
2002-10,4.016,
2003-01,3.859,
2003-04,3.931,
2003-07,3.939,
2003-10,3.974,
2004-01,3.943,
2004-04,3.851,
2004-07,3.674,
2004-10,3.738,
2005-01,3.735,
2005-04,3.720,
2005-07,3.724,
2005-10,3.715,
2006-01,3.806,
2006-04,3.881,
2006-07,3.840,
2006-10,3.826,
2007-01,3.507,
2007-04,3.535,
2007-07,3.529,
2007-10,3.273,
2008-01,3.468,
2008-04,3.639,
2008-07,3.719,
2008-10,3.878,
2009-01,3.972,
2009-04,4.140,
2009-07,4.561,
2009-10,4.691,
2010-01,4.784,
2010-04,4.948,
2010-07,5.029,
2010-10,5.471,
2011-01,5.639,
2011-04,5.760,
2011-07,5.931,
2011-10,6.134,
2012-01,6.129,
2012-04,6.252,
2012-07,6.427,
2012-10,6.651,
2013-01,6.662,
2013-04,6.741,
2013-07,7.532,
2013-10,7.689,
2014-01,7.638,
2014-04,7.772,
2014-07,7.774,
