"",BBK01.CELI05,BBK01.CELI05_FLAGS
"",Listed Shares debtor: Total                                            creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:22,
1999-01,0.1,
1999-04,0.5,
1999-07,-0.1,
1999-10,-0.1,
2000-01,0.2,
2000-04,-0.1,
2000-07,0.0,
2000-10,0.3,
2001-01,-1.1,
2001-04,0.9,
2001-07,-0.3,
2001-10,1.1,
2002-01,-3.0,
2002-04,-0.1,
2002-07,5.9,
2002-10,-6.0,
2003-01,6.8,
2003-04,2.5,
2003-07,0.0,
2003-10,-8.7,
2004-01,-0.1,
2004-04,0.0,
2004-07,-0.2,
2004-10,0.0,
2005-01,0.2,
2005-04,-0.1,
2005-07,0.1,
2005-10,-0.2,
2006-01,11.0,
2006-04,31.5,
2006-07,14.0,
2006-10,-6.0,
2007-01,6.5,
2007-04,17.7,
2007-07,-12.9,
2007-10,18.7,
2008-01,-2.2,
2008-04,13.8,
2008-07,-2.2,
2008-10,-33.5,
2009-01,6.2,
2009-04,25.7,
2009-07,22.4,
2009-10,-10.3,
2010-01,13.6,
2010-04,-10.6,
2010-07,-1.5,
2010-10,4.0,
2011-01,11.3,
2011-04,-7.1,
2011-07,-40.5,
2011-10,-14.1,
2012-01,8.8,
2012-04,-18.8,
2012-07,26.7,
2012-10,1.9,
2013-01,1.3,
2013-04,1.9,
2013-07,0.2,
2013-10,-0.5,
2014-01,1.3,
2014-04,0.3,
2014-07,0.2,
