"",BBK01.TVD450,BBK01.TVD450_FLAGS
"",Capital and reserves / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:21:27,
1980-01,0,
1980-02,120,
1980-03,415,
1980-04,290,
1980-05,389,
1980-06,552,
1980-07,186,
1980-08,76,
1980-09,98,
1980-10,79,
1980-11,148,
1980-12,329,
1981-01,199,
1981-02,249,
1981-03,380,
1981-04,653,
1981-05,479,
1981-06,585,
1981-07,474,
1981-08,63,
1981-09,136,
1981-10,65,
1981-11,43,
1981-12,348,
1982-01,209,
1982-02,104,
1982-03,506,
1982-04,305,
1982-05,539,
1982-06,414,
1982-07,762,
1982-08,56,
1982-09,83,
1982-10,312,
1982-11,151,
1982-12,169,
1983-01,377,
1983-02,252,
1983-03,519,
1983-04,372,
1983-05,521,
1983-06,513,
1983-07,399,
1983-08,56,
1983-09,104,
1983-10,137,
1983-11,155,
1983-12,238,
1984-01,287,
1984-02,347,
1984-03,855,
1984-04,450,
1984-05,645,
1984-06,640,
1984-07,363,
1984-08,141,
1984-09,100,
1984-10,70,
1984-11,51,
1984-12,416,
1985-01,198,
1985-02,580,
1985-03,854,
1985-04,355,
1985-05,695,
1985-06,573,
1985-07,672,
1985-08,94,
1985-09,237,
1985-10,683,
1985-11,75,
1985-12,508,
1986-01,2064,
1986-02,373,
1986-03,832,
1986-04,1031,
1986-05,798,
1986-06,542,
1986-07,439,
1986-08,102,
1986-09,118,
1986-10,327,
1986-11,117,
1986-12,441,
1987-01,221,
1987-02,150,
1987-03,878,
1987-04,432,
1987-05,1129,
1987-06,533,
1987-07,409,
1987-08,97,
1987-09,209,
1987-10,279,
1987-11,203,
1987-12,268,
1988-01,270,
1988-02,132,
1988-03,548,
1988-04,259,
1988-05,546,
1988-06,590,
1988-07,365,
1988-08,225,
1988-09,145,
1988-10,581,
1988-11,185,
1988-12,334,
1989-01,217,
1989-02,822,
1989-03,909,
1989-04,601,
1989-05,695,
1989-06,696,
1989-07,450,
1989-08,143,
1989-09,829,
1989-10,1288,
1989-11,490,
1989-12,890,
1990-01,293,
1990-02,495,
1990-03,1767,
1990-04,511,
1990-05,546,
1990-06,574,
1990-07,1408,
1990-08,359,
1990-09,551,
1990-10,346,
1990-11,726,
1990-12,-756,
1991-01,-397,
1991-02,277,
1991-03,2202,
1991-04,911,
1991-05,629,
1991-06,1541,
1991-07,367,
1991-08,326,
1991-09,2535,
1991-10,593,
1991-11,298,
1991-12,734,
1992-01,2373,
1992-02,1584,
1992-03,1899,
1992-04,563,
1992-05,731,
1992-06,2084,
1992-07,897,
1992-08,255,
1992-09,419,
1992-10,378,
1992-11,482,
1992-12,2095,
1993-01,585,
1993-02,1535,
1993-03,2214,
1993-04,539,
1993-05,1265,
1993-06,1600,
1993-07,312,
1993-08,-643,
1993-09,864,
1993-10,715,
1993-11,876,
1993-12,1243,
1994-01,3502,
1994-02,3331,
1994-03,1559,
1994-04,805,
1994-05,1198,
1994-06,1385,
1994-07,957,
1994-08,420,
1994-09,851,
1994-10,-1417,
1994-11,429,
1994-12,727,
1995-01,200,
1995-02,1121,
1995-03,-1106,
1995-04,767,
1995-05,2017,
1995-06,2137,
1995-07,733,
1995-08,447,
1995-09,798,
1995-10,767,
1995-11,820,
1995-12,1430,
1996-01,1128,
1996-02,1270,
1996-03,1814,
1996-04,1078,
1996-05,1431,
1996-06,1877,
1996-07,640,
1996-08,418,
1996-09,612,
1996-10,682,
1996-11,981,
1996-12,873,
1997-01,1027,
1997-02,1561,
1997-03,934,
1997-04,1100,
1997-05,1184,
1997-06,3174,
1997-07,2318,
1997-08,1484,
1997-09,1365,
1997-10,1459,
1997-11,1622,
1997-12,1752,
1998-01,1164,
1998-02,2542,
1998-03,1372,
1998-04,997,
1998-05,1837,
1998-06,2002,
1998-07,623,
1998-08,-274,
1998-09,-193,
1998-10,1227,
1998-11,1115,
1998-12,2336,
1999-01,-400,
1999-02,4371,
1999-03,3238,
1999-04,5048,
1999-05,5228,
1999-06,1214,
1999-07,1190,
1999-08,64,
1999-09,4796,
1999-10,3499,
1999-11,3800,
1999-12,3419,
2000-01,1290,
2000-02,3081,
2000-03,3027,
2000-04,1862,
2000-05,1635,
2000-06,6849,
2000-07,2111,
2000-08,3139,
2000-09,1106,
2000-10,2739,
2000-11,1264,
2000-12,7184,
2001-01,-381,
2001-02,1913,
2001-03,2435,
2001-04,-742,
2001-05,2121,
2001-06,2608,
2001-07,3524,
2001-08,2808,
2001-09,1510,
2001-10,3992,
2001-11,2857,
2001-12,-1516,
2002-01,794,
2002-02,2293,
2002-03,1167,
2002-04,2154,
2002-05,3868,
2002-06,2275,
2002-07,5393,
2002-08,4516,
2002-09,3034,
2002-10,-1039,
2002-11,-550,
2002-12,624,
2003-01,3088,
2003-02,3668,
2003-03,-696,
2003-04,-952,
2003-05,459,
2003-06,-3469,
2003-07,-175,
2003-08,-4818,
2003-09,-2117,
2003-10,3979,
2003-11,-1078,
2003-12,-1972,
2004-01,-3826,
2004-02,-4496,
2004-03,-2499,
2004-04,3488,
2004-05,2802,
2004-06,1117,
2004-07,1828,
2004-08,-3317,
2004-09,-1279,
2004-10,711,
2004-11,-2618,
2004-12,-2445,
2005-01,3066,
2005-02,-93,
2005-03,1606,
2005-04,5770,
2005-05,1886,
2005-06,-200,
2005-07,2420,
2005-08,-2140,
2005-09,54,
2005-10,2561,
2005-11,1584,
2005-12,-1743,
2006-01,5267,
2006-02,7168,
2006-03,7346,
2006-04,1166,
2006-05,2224,
2006-06,633,
2006-07,732,
2006-08,-161,
2006-09,558,
2006-10,1158,
2006-11,3354,
2006-12,-1966,
2007-01,3832,
2007-02,7124,
2007-03,5973,
2007-04,5916,
2007-05,5855,
2007-06,1084,
2007-07,8379,
2007-08,-2854,
2007-09,4189,
2007-10,1612,
2007-11,228,
2007-12,940,
2008-01,2588,
2008-02,939,
2008-03,16621,
2008-04,-3834,
2008-05,1759,
2008-06,4000,
2008-07,1551,
2008-08,3606,
2008-09,-4618,
2008-10,4531,
2008-11,-4453,
2008-12,16580,
2009-01,-2628,
2009-02,-20838,
2009-03,8522,
2009-04,-18127,
2009-05,2726,
2009-06,16344,
2009-07,-247,
2009-08,2376,
2009-09,76,
2009-10,-3128,
2009-11,1502,
2009-12,13089,
2010-01,-14523,
2010-02,-1078,
2010-03,4038,
2010-04,1718,
2010-05,-4733,
2010-06,-4506,
2010-07,-1219,
2010-08,-3080,
2010-09,-1785,
2010-10,6983,
2010-11,10397,
2010-12,694,
2011-01,2770,
2011-02,6171,
2011-03,2106,
2011-04,-2481,
2011-05,2569,
2011-06,-11007,
2011-07,2795,
2011-08,5310,
2011-09,-1581,
2011-10,4700,
2011-11,2327,
2011-12,-10,
2012-01,1367,
2012-02,3881,
2012-03,4875,
2012-04,-336,
2012-05,2766,
2012-06,7612,
2012-07,6346,
2012-08,-3251,
2012-09,-3170,
2012-10,663,
2012-11,2717,
2012-12,-2450,
2013-01,4976,
2013-02,8395,
2013-03,1824,
2013-04,856,
2013-05,3970,
2013-06,10808,
2013-07,2017,
2013-08,3613,
2013-09,-481,
2013-10,-108,
2013-11,-5518,
2013-12,-11501,
2014-01,13469,
2014-02,-2204,
2014-03,-3081,
2014-04,-3036,
2014-05,7626,
2014-06,15053,
2014-07,4953,
2014-08,12112,
2014-09,-2635,
2014-10,-4924,
2014-11,-5091,
2014-12,-6048,
2015-01,4446,
