"",BBSF2.M.1.S.00000.GEM01.A.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.A.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value / Distribution funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:26,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,51782,
1993-05,52415,
1993-06,53848,
1993-07,55914,
1993-08,57754,
1993-09,57698,
1993-10,60772,
1993-11,61249,
1993-12,63804,
1994-01,65446,
1994-02,65021,
1994-03,65099,
1994-04,68564,
1994-05,67975,
1994-06,67064,
1994-07,69332,
1994-08,70325,
1994-09,67551,
1994-10,69439,
1994-11,68762,
1994-12,68846,
1995-01,69869,
1995-02,71487,
1995-03,70598,
1995-04,72738,
1995-05,74871,
1995-06,74852,
1995-07,77173,
1995-08,78579,
1995-09,79674,
1995-10,79483,
1995-11,82407,
1995-12,84133,
1996-01,89251,
1996-02,91436,
1996-03,93531,
1996-04,96195,
1996-05,97724,
1996-06,99002,
1996-07,98949,
1996-08,101763,
1996-09,104532,
1996-10,106846,
1996-11,110834,
1996-12,111815,
1997-01,118191,
1997-02,124864,
1997-03,128225,
1997-04,131016,
1997-05,134727,
1997-06,143049,
1997-07,155151,
1997-08,150799,
1997-09,157402,
1997-10,153557,
1997-11,157214,
1997-12,164968,
1998-01,175419,
1998-02,184417,
1998-03,195173,
1998-04,197075,
1998-05,205730,
1998-06,211909,
1998-07,217699,
1998-08,205984,
1998-09,201852,
1998-10,207492,
1998-11,220052,
1998-12,223466,
1999-01,230787,
1999-02,230190,
1999-03,234962,
1999-04,246538,
1999-05,244230,
1999-06,252567,
1999-07,250058,
1999-08,256907,
1999-09,253022,
1999-10,261127,
1999-11,273786,
1999-12,293784,
2000-01,293226,
2000-02,304767,
2000-03,312763,
2000-04,313155,
2000-05,310584,
2000-06,308362,
2000-07,313173,
2000-08,321831,
2000-09,317659,
2000-10,322998,
2000-11,313454,
2000-12,312852,
2001-01,318732,
2001-02,307871,
2001-03,302463,
2001-04,311471,
2001-05,312056,
2001-06,306408,
2001-07,302894,
2001-08,294754,
2001-09,278252,
2001-10,289766,
2001-11,296537,
2001-12,297644,
2002-01,295885,
2002-02,295046,
2002-03,298163,
2002-04,294829,
2002-05,291694,
2002-06,282526,
2002-07,275165,
2002-08,275080,
2002-09,265309,
2002-10,270990,
2002-11,278130,
2002-12,268679,
2003-01,270110,
2003-02,268046,
2003-03,269934,
2003-04,278708,
2003-05,285034,
2003-06,290198,
2003-07,291766,
2003-08,294781,
2003-09,295809,
2003-10,300294,
2003-11,298658,
2003-12,304116,
2004-01,311841,
2004-02,314697,
2004-03,315187,
2004-04,315812,
2004-05,313136,
2004-06,316967,
2004-07,313457,
2004-08,315190,
2004-09,316531,
2004-10,319385,
2004-11,322196,
2004-12,320327,
2005-01,324557,
2005-02,326952,
2005-03,324866,
2005-04,325140,
2005-05,329666,
2005-06,337724,
2005-07,340278,
2005-08,341859,
2005-09,343805,
2005-10,337563,
2005-11,337780,
2005-12,338499,
2006-01,334686,
2006-02,338359,
2006-03,338844,
2006-04,337353,
2006-05,331536,
2006-06,329126,
2006-07,332113,
2006-08,333098,
2006-09,337605,
2006-10,340610,
2006-11,340398,
2006-12,342278,
2007-01,342755,
2007-02,343612,
2007-03,344257,
2007-04,351992,
2007-05,355791,
2007-06,354162,
2007-07,351420,
2007-08,350626,
2007-09,352237,
2007-10,354780,
2007-11,349589,
2007-12,347738,
2008-01,337305,
2008-02,338302,
2008-03,333394,
2008-04,336697,
2008-05,335322,
2008-06,325045,
2008-07,316723,
2008-08,320594,
2008-09,312072,
2008-10,293827,
2008-11,290533,
2008-12,285830,
2009-01,282561,
2009-02,276884,
2009-03,276818,
2009-04,276029,
2009-05,233330,
2009-06,234093,
2009-07,234320,
2009-08,236539,
2009-09,224768,
2009-10,226739,
2009-11,228542,
2009-12,229929,
2010-01,229748,
2010-02,230456,
2010-03,234712,
2010-04,232605,
2010-05,229232,
2010-06,232112,
2010-07,236272,
2010-08,240844,
2010-09,240717,
2010-10,243844,
2010-11,242207,
2010-12,253701,
2011-01,256285,
2011-02,257309,
2011-03,255963,
2011-04,257978,
2011-05,258707,
2011-06,257051,
2011-07,257978,
2011-08,252521,
2011-09,249375,
2011-10,252379,
2011-11,246689,
2011-12,248803,
2012-01,249185,
2012-02,257370,
2012-03,258962,
2012-04,260707,
2012-05,258654,
2012-06,259771,
2012-07,265638,
2012-08,268641,
2012-09,271914,
2012-10,274603,
2012-11,279086,
2012-12,284932,
2013-01,286232,
2013-02,292023,
2013-03,297859,
2013-04,304133,
2013-05,305856,
2013-06,302469,
2013-07,308913,
2013-08,308533,
2013-09,312490,
2013-10,317304,
2013-11,319169,
2013-12,320245,
2014-01,321085,
2014-02,325932,
2014-03,327441,
2014-04,329417,
2014-05,335722,
2014-06,337719,
2014-07,342907,
2014-08,366291,
2014-09,367648,
2014-10,369557,
2014-11,374557,
