"",BBFB1.Q.N.DE.E14000.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:20,
1991-01,8.799,
1991-04,49.713,
1991-07,95.429,
1991-10,-34.312,
1992-01,7.424,
1992-04,-209.104,
1992-07,-65.317,
1992-10,-720.013,
1993-01,-187.923,
1993-04,267.807,
1993-07,40.324,
1993-10,-111.357,
1994-01,341.628,
1994-04,105.887,
1994-07,620.326,
1994-10,250.828,
1995-01,1413.689,
1995-04,-231.129,
1995-07,-313.030,
1995-10,172.076,
1996-01,-290.393,
1996-04,-96.050,
1996-07,547.585,
1996-10,742.222,
1997-01,-787.224,
1997-04,-259.752,
1997-07,1088.113,
1997-10,1036.797,
1998-01,-1430.306,
1998-04,250.095,
1998-07,-467.966,
1998-10,-24.620,
1999-01,52.027,
1999-04,1094.153,
1999-07,2258.660,
1999-10,1663.918,
2000-01,2134.886,
2000-04,2961.421,
2000-07,1610.079,
2000-10,266.239,
2001-01,-1189.367,
2001-04,-2178.528,
2001-07,767.896,
2001-10,1026.505,
2002-01,-724.541,
2002-04,3764.913,
2002-07,1044.335,
2002-10,117.805,
2003-01,3566.484,
2003-04,-836.242,
2003-07,1147.529,
2003-10,1693.508,
2004-01,363.286,
2004-04,-811.818,
2004-07,26.015,
2004-10,-152.370,
2005-01,815.826,
2005-04,1739.845,
2005-07,881.796,
2005-10,1657.388,
2006-01,-923.250,
2006-04,1144.695,
2006-07,56.331,
2006-10,3719.202,
2007-01,1937.074,
2007-04,-687.084,
2007-07,3369.502,
2007-10,-492.273,
2008-01,188.555,
2008-04,-1701.440,
2008-07,2050.189,
2008-10,-2000.237,
2009-01,-189.271,
2009-04,-493.501,
2009-07,3339.050,
2009-10,-990.294,
2010-01,1534.132,
2010-04,-1029.577,
2010-07,1567.060,
2010-10,3872.837,
2011-01,3195.747,
2011-04,1500.089,
2011-07,2939.832,
2011-10,2736.684,
2012-01,2265.181,
2012-04,2085.828,
2012-07,1655.984,
2012-10,559.077,
2013-01,639.300,
2013-04,908.933,
2013-07,381.583,
2013-10,-184.844,
2014-01,432.849,Provisional value
2014-04,1642.483,Provisional value
2014-07,2112.607,Provisional value
2014-10,-2504.178,Provisional value
