"",BBSF2.M.1.S.I0002.REN01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.REN01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:12,
2009-09,250,
2009-10,329,
2009-11,335,
2009-12,1981,
2010-01,35,
2010-02,240,
2010-03,403,
2010-04,189,
2010-05,151,
2010-06,395,
2010-07,32,
2010-08,834,
2010-09,97,
2010-10,61,
2010-11,184,
2010-12,240,
2011-01,151,
2011-02,1016,
2011-03,347,
2011-04,203,
2011-05,121,
2011-06,32,
2011-07,176,
2011-08,23,
2011-09,873,
2011-10,501,
2011-11,150,
2011-12,665,
2012-01,1124,
2012-02,444,
2012-03,515,
2012-04,123,
2012-05,282,
2012-06,396,
2012-07,563,
2012-08,206,
2012-09,465,
2012-10,677,
2012-11,479,
2012-12,922,
2013-01,141,
2013-02,738,
2013-03,150,
2013-04,332,
2013-05,151,
2013-06,173,
2013-07,162,
2013-08,148,
2013-09,155,
2013-10,843,
2013-11,348,
2013-12,450,
2014-01,642,
2014-02,399,
2014-03,6721,
2014-04,179,
2014-05,116,
2014-06,541,
2014-07,32,
2014-08,973,
2014-09,87,
2014-10,493,
2014-11,559,
