"",BBK01.OEHB03V,BBK01.OEHB03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:40,
2002-01,0.675,
2002-04,0.685,
2002-07,0.684,
2002-10,0.735,
2003-01,0.751,
2003-04,0.742,
2003-07,0.737,
2003-10,0.727,
2004-01,0.721,
2004-04,0.704,
2004-07,0.737,
2004-10,0.728,
2005-01,0.690,
2005-04,0.699,
2005-07,0.688,
2005-10,0.651,
2006-01,0.635,
2006-04,0.632,
2006-07,0.635,
2006-10,0.649,
2007-01,0.684,
2007-04,0.667,
2007-07,0.650,
2007-10,0.636,
2008-01,0.599,
2008-04,0.647,
2008-07,0.676,
2008-10,0.734,
2009-01,0.779,
2009-04,0.878,
2009-07,0.914,
2009-10,0.909,
2010-01,0.911,
2010-04,0.933,
2010-07,0.939,
2010-10,0.925,
2011-01,0.898,
2011-04,1.043,
2011-07,1.249,
2011-10,1.293,
2012-01,1.302,
2012-04,1.292,
2012-07,1.522,
2012-10,1.478,
2013-01,1.492,
2013-04,1.476,
2013-07,1.466,
2013-10,1.525,
2014-01,1.529,
2014-04,1.550,
2014-07,1.540,
