"",BBFB1.Q.N.DE.CH.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.CH.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:37,
1991-01,-103.011,
1991-04,-49.206,
1991-07,1.757,
1991-10,-180.325,
1992-01,95.074,
1992-04,78.511,
1992-07,-113.169,
1992-10,75.230,
1993-01,28.728,
1993-04,224.087,
1993-07,-177.446,
1993-10,407.409,
1994-01,138.525,
1994-04,50.395,
1994-07,211.351,
1994-10,91.749,
1995-01,58.746,
1995-04,4.358,
1995-07,372.564,
1995-10,-106.923,
1996-01,-1.660,
1996-04,-262.154,
1996-07,312.473,
1996-10,590.197,
1997-01,2855.759,
1997-04,-395.785,
1997-07,965.668,
1997-10,669.112,
1998-01,883.837,
1998-04,1561.494,
1998-07,1380.696,
1998-10,1764.104,
1999-01,845.809,
1999-04,-912.998,
1999-07,-986.011,
1999-10,479.036,
2000-01,-1094.523,
2000-04,1159.162,
2000-07,1907.883,
2000-10,-111.279,
2001-01,353.778,
2001-04,-1076.676,
2001-07,-5545.418,
2001-10,530.262,
2002-01,301.656,
2002-04,-232.805,
2002-07,-1282.632,
2002-10,-954.388,
2003-01,-1598.994,
2003-04,187.225,
2003-07,-926.101,
2003-10,-108.467,
2004-01,-1049.653,
2004-04,1312.022,
2004-07,-421.049,
2004-10,-297.996,
2005-01,-1572.664,
2005-04,56.642,
2005-07,745.371,
2005-10,-195.910,
2006-01,-1043.437,
2006-04,208.864,
2006-07,888.525,
2006-10,-567.853,
2007-01,-3167.703,
2007-04,4071.065,
2007-07,-1052.712,
2007-10,-525.421,
2008-01,-902.935,
2008-04,1261.384,
2008-07,-1358.401,
2008-10,-790.045,
2009-01,107.448,
2009-04,174.438,
2009-07,71.376,
2009-10,-375.460,
2010-01,128.212,
2010-04,1049.575,
2010-07,231.135,
2010-10,-91.890,
2011-01,-2006.840,
2011-04,2149.929,
2011-07,-397.666,
2011-10,556.084,
2012-01,-142.229,
2012-04,623.058,
2012-07,-1642.604,
2012-10,747.638,
2013-01,-539.730,
2013-04,77.442,
2013-07,585.015,
2013-10,511.163,
2014-01,-640.364,Provisional value
2014-04,748.929,Provisional value
2014-07,-317.778,Provisional value
2014-10,-243.346,Provisional value
