"",BBK01.BQ8066,BBK01.BQ8066_FLAGS
"",General government debt as defined in the Maastricht Treaty as a % of GDP - Germany - state government,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 16:34:23,
2000-01,16.5,
2000-04,16.4,
2000-07,16.3,
2000-10,16.7,
2001-01,16.8,
2001-04,16.8,
2001-07,17.1,
2001-10,17.4,
2002-01,17.6,
2002-04,17.8,
2002-07,18.0,
2002-10,18.5,
2003-01,19.0,
2003-04,19.4,
2003-07,19.4,
2003-10,19.8,
2004-01,20.1,
2004-04,20.2,
2004-07,20.5,
2004-10,20.5,
2005-01,20.8,
2005-04,20.8,
2005-07,20.9,
2005-10,21.2,
2006-01,21.2,
2006-04,21.1,
2006-07,20.9,
2006-10,20.8,
2007-01,20.6,
2007-04,20.2,
2007-07,20.0,
2007-10,20.0,
2008-01,20.2,
2008-04,21.1,
2008-07,20.8,
2008-10,21.1,
2009-01,21.7,
2009-04,22.8,
2009-07,23.2,
2009-10,23.7,
2010-01,23.7,Provisional value
2010-04,24.5,Provisional value
2010-07,24.4,Provisional value
2010-10,24.4,Provisional value
2011-01,23.9,Provisional value
2011-04,23.9,Provisional value
2011-07,23.8,Provisional value
2011-10,23.8,Provisional value
2012-01,23.9,Provisional value
2012-04,24.5,Provisional value
2012-07,24.8,Provisional value
2012-10,24.4,Provisional value
2013-01,24.1,Provisional value
2013-04,23.6,Provisional value
2013-07,23.2,Provisional value
2013-10,23.2,Provisional value
2014-01,22.6,Provisional value
2014-04,22.4,Provisional value
2014-07,22.3,Provisional value
