"",BBFB1.Q.N.DE.S1.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:49,
1991-01,-52.564,
1991-04,-46.404,
1991-07,-1.316,
1991-10,-2.011,
1992-01,-47.642,
1992-04,-79.014,
1992-07,-69.526,
1992-10,-60.785,
1993-01,-190.854,
1993-04,-169.613,
1993-07,-163.097,
1993-10,-163.367,
1994-01,-88.641,
1994-04,-97.266,
1994-07,-86.863,
1994-10,-93.396,
1995-01,11.735,
1995-04,-0.232,
1995-07,8.514,
1995-10,12.064,
1996-01,-43.004,
1996-04,-35.212,
1996-07,-33.655,
1996-10,-58.943,
1997-01,-86.645,
1997-04,-84.119,
1997-07,-76.694,
1997-10,-78.742,
1998-01,-54.566,
1998-04,-51.441,
1998-07,-51.155,
1998-10,-52.303,
1999-01,-186.482,
1999-04,-113.002,
1999-07,-103.999,
1999-10,-100.728,
2000-01,-12.922,
2000-04,-25.075,
2000-07,-3.639,
2000-10,-14.362,
2001-01,-119.734,
2001-04,-189.918,
2001-07,-138.210,
2001-10,-150.735,
2002-01,-31.741,
2002-04,-26.173,
2002-07,-21.475,
2002-10,16.098,
2003-01,13.853,
2003-04,-93.930,
2003-07,30.947,
2003-10,58.944,
2004-01,197.803,
2004-04,139.756,
2004-07,192.986,
2004-10,221.334,
2005-01,70.397,
2005-04,47.372,
2005-07,47.214,
2005-10,40.808,
2006-01,85.819,
2006-04,107.282,
2006-07,-144.226,
2006-10,131.302,
2007-01,245.876,
2007-04,188.318,
2007-07,96.196,
2007-10,132.524,
2008-01,-225.138,
2008-04,-9.533,
2008-07,34.765,
2008-10,0.857,
2009-01,-100.553,
2009-04,-60.697,
2009-07,-71.102,
2009-10,-40.535,
2010-01,116.749,
2010-04,89.434,
2010-07,123.833,
2010-10,182.035,
2011-01,135.792,
2011-04,46.101,
2011-07,121.366,
2011-10,174.701,
2012-01,159.407,
2012-04,174.853,
2012-07,141.241,
2012-10,189.526,
2013-01,150.203,
2013-04,86.077,
2013-07,52.510,
2013-10,133.868,
2014-01,150.350,Provisional value
2014-04,104.439,Provisional value
2014-07,94.028,Provisional value
2014-10,133.792,Provisional value
