"",BBFN1.M.DE.N.1.A.W00200.S1P.F0.S.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W00200.S1P.F0.S.NV00.Z01.BGA.X001.D_FLAGS
1988-12,9.569,
1989-01,9.238,
1989-02,9.424,
1989-03,8.641,
1989-04,9.326,
1989-05,9.750,
1989-06,10.100,
1989-07,9.740,
1989-08,9.781,
1989-09,10.279,
1989-10,11.201,
1989-11,11.612,
1989-12,13.191,
1990-01,13.550,
1990-02,13.805,
1990-03,13.691,
1990-04,14.074,
1990-05,14.261,
1990-06,13.726,
1990-07,13.108,
1990-08,13.942,
1990-09,14.546,
1990-10,14.784,
1990-11,16.152,
1990-12,17.394,
1991-01,17.209,
1991-02,18.009,
1991-03,19.750,
1991-04,20.111,
1991-05,19.197,
1991-06,19.890,
1991-07,18.486,
1991-08,17.644,
1991-09,18.569,
1991-10,18.368,
1991-11,18.191,
1991-12,17.592,
1992-01,16.857,
1992-02,16.941,
1992-03,17.782,
1992-04,17.717,
1992-05,17.416,
1992-06,16.824,
1992-07,16.543,
1992-08,17.336,
1992-09,17.180,
1992-10,17.163,
1992-11,16.699,
1992-12,15.795,
1993-01,15.531,
1993-02,15.875,
1993-03,16.323,
1993-04,16.941,
1993-05,17.117,
1993-06,16.953,
1993-07,16.637,
1993-08,16.819,
1993-09,17.122,
1993-10,17.207,
1993-11,17.232,
1993-12,18.748,
1994-01,18.699,
1994-02,18.830,
1994-03,20.021,
1994-04,20.774,
1994-05,20.900,
1994-06,20.800,
1994-07,21.555,
1994-08,21.681,
1994-09,23.095,
1994-10,23.622,
1994-11,23.066,
1994-12,22.239,
1995-01,23.476,
1995-02,24.062,
1995-03,24.227,
1995-04,25.060,
1995-05,25.615,
1995-06,24.933,
1995-07,24.560,
1995-08,24.775,
1995-09,25.449,
1995-10,26.416,
1995-11,26.876,
1995-12,25.338,
1996-01,26.420,
1996-02,28.504,
1996-03,30.189,
1996-04,31.694,
1996-05,33.924,
1996-06,32.965,
1996-07,28.955,
1996-08,28.779,
1996-09,31.994,
1996-10,32.452,
1996-11,33.268,
1996-12,38.886,
1997-01,45.712,
1997-02,47.477,
1997-03,48.681,
1997-04,51.690,
1997-05,51.718,
1997-06,49.975,
1997-07,48.681,
1997-08,45.149,
1997-09,47.394,
1997-10,44.861,
1997-11,43.238,
1997-12,44.287,
1998-01,44.029,
1998-02,49.309,
1998-03,59.089,
1998-04,61.083,
1998-05,66.129,
1998-06,58.981,
1998-07,53.529,
1998-08,50.195,
1998-09,56.575,
1998-10,51.304,
1998-11,55.675,
1998-12,55.270,
1999-01,56.315,
1999-02,63.094,
1999-03,73.443,
1999-04,82.205,
1999-05,90.880,
1999-06,90.266,
1999-07,78.118,
1999-08,78.634,
1999-09,77.316,
1999-10,74.623,
1999-11,80.022,
1999-12,78.061,
2000-01,80.181,
2000-02,83.940,
2000-03,93.731,
2000-04,97.928,
2000-05,111.628,
2000-06,110.567,
2000-07,94.189,
2000-08,97.507,
2000-09,97.009,
2000-10,97.149,
2000-11,95.254,
2000-12,93.939,
2001-01,102.997,
2001-02,111.431,
2001-03,133.521,
2001-04,133.328,
2001-05,134.557,
2001-06,132.146,
2001-07,119.315,
2001-08,117.835,
2001-09,114.685,
2001-10,114.338,
2001-11,104.295,
2001-12,111.885,
2002-01,104.002,
2002-02,104.050,
2002-03,102.171,
2002-04,97.255,
2002-05,87.409,
2002-06,87.379,
2002-07,83.975,
2002-08,82.373,
2002-09,87.987,
2002-10,88.602,
2002-11,83.086,
2002-12,83.954,
2003-01,87.528,
2003-02,89.915,
2003-03,95.540,
2003-04,95.545,
2003-05,95.711,
2003-06,92.793,
2003-07,92.730,
2003-08,90.216,
2003-09,94.223,
2003-10,90.723,
2003-11,93.492,
2003-12,91.154,
2004-01,101.063,
2004-02,95.091,
2004-03,97.807,
2004-04,95.682,
2004-05,97.589,
2004-06,97.995,
2004-07,97.842,
2004-08,101.004,
2004-09,102.687,
2004-10,100.166,
2004-11,94.506,
2004-12,89.994,
2005-01,89.416,
2005-02,93.031,
2005-03,94.587,
2005-04,97.435,
2005-05,98.198,
2005-06,101.923,
2005-07,100.980,
2005-08,102.184,
2005-09,107.870,
2005-10,108.248,
2005-11,108.344,
2005-12,109.970,
2006-01,107.964,
2006-02,115.583,
2006-03,118.858,
2006-04,124.933,
2006-05,120.509,
2006-06,120.949,
2006-07,122.642,
2006-08,121.232,
2006-09,118.518,
2006-10,121.624,
2006-11,116.164,
2006-12,113.740,
2007-01,118.864,
2007-02,114.829,
2007-03,116.460,
2007-04,119.436,
2007-05,121.055,
2007-06,118.208,
2007-07,122.804,
2007-08,118.144,
2007-09,124.312,
2007-10,122.815,
2007-11,117.458,
2007-12,120.321,
2008-01,116.144,
2008-02,119.411,
2008-03,120.458,
2008-04,127.916,
2008-05,126.664,
2008-06,131.319,
2008-07,134.511,
2008-08,132.273,
2008-09,133.793,
2008-10,138.154,
2008-11,140.741,
2008-12,139.559,
2009-01,136.597,
2009-02,133.939,
2009-03,139.985,
2009-04,137.704,
2009-05,140.139,
2009-06,138.159,
2009-07,136.797,
2009-08,135.635,
2009-09,133.904,
2009-10,135.866,
2009-11,134.571,
2009-12,136.487,
2010-01,137.227,
2010-02,136.011,
2010-03,143.765,
2010-04,139.853,
2010-05,146.295,
2010-06,153.642,
2010-07,151.346,
2010-08,150.462,
2010-09,150.898,
2010-10,150.743,
2010-11,152.172,
2010-12,148.035,
2011-01,150.963,
2011-02,149.746,
2011-03,152.848,
2011-04,152.354,
2011-05,152.086,
2011-06,150.398,
2011-07,149.858,
2011-08,148.921,
2011-09,149.722,
2011-10,146.489,
2011-11,142.054,
2011-12,149.361,
2012-01,146.820,
2012-02,146.652,
2012-03,151.260,
2012-04,148.253,
2012-05,148.522,
2012-06,154.222,
2012-07,151.155,
2012-08,151.019,
2012-09,149.387,
2012-10,147.312,
2012-11,146.493,
2012-12,150.554,
2013-01,146.800,
2013-02,144.999,
2013-03,154.247,
2013-04,155.922,
2013-05,157.452,
2013-06,161.392,
2013-07,153.814,
2013-08,155.989,
2013-09,155.832,
2013-10,147.233,
2013-11,146.353,
2013-12,151.285,
2014-01,150.173,
2014-02,153.343,
2014-03,155.477,
2014-04,162.414,
2014-05,160.346,
2014-06,158.700,
2014-07,160.034,
2014-08,165.688,
2014-09,169.458,
2014-10,163.827,
2014-11,159.726,
2014-12,166.774,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
