"",BBK01.OEBI04N,BBK01.OEBI04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:34,
2002-01,23.859,
2002-04,23.405,
2002-07,23.314,
2002-10,24.153,
2003-01,22.495,
2003-04,22.153,
2003-07,19.261,
2003-10,19.579,
2004-01,17.815,
2004-04,17.308,
2004-07,18.350,
2004-10,15.736,
2005-01,15.529,
2005-04,16.346,
2005-07,16.521,
2005-10,17.302,
2006-01,19.123,
2006-04,20.780,
2006-07,21.899,
2006-10,20.918,
2007-01,22.349,
2007-04,23.315,
2007-07,30.343,
2007-10,33.777,
2008-01,35.241,
2008-04,36.486,
2008-07,37.883,
2008-10,47.208,
2009-01,37.943,
2009-04,32.090,
2009-07,34.199,
2009-10,27.679,
2010-01,22.509,
2010-04,30.811,
2010-07,23.898,
2010-10,27.614,
2011-01,25.062,
2011-04,31.168,
2011-07,30.293,
2011-10,35.776,
2012-01,30.494,
2012-04,35.899,
2012-07,34.735,
2012-10,27.559,
2013-01,25.327,
2013-04,23.772,
2013-07,23.565,
2013-10,21.812,
2014-01,22.966,
2014-04,23.592,
2014-07,21.937,
