"",BBK01.OEHM08L,BBK01.OEHM08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:10,
2002-01,0.169,
2002-04,0.156,
2002-07,0.146,
2002-10,0.170,
2003-01,0.163,
2003-04,0.157,
2003-07,0.145,
2003-10,0.148,
2004-01,0.158,
2004-04,0.144,
2004-07,0.147,
2004-10,0.151,
2005-01,0.140,
2005-04,0.142,
2005-07,0.141,
2005-10,0.149,
2006-01,0.153,
2006-04,0.143,
2006-07,0.142,
2006-10,0.130,
2007-01,0.108,
2007-04,0.106,
2007-07,0.105,
2007-10,0.099,
2008-01,0.082,
2008-04,0.092,
2008-07,0.093,
2008-10,0.089,
2009-01,0.085,
2009-04,0.082,
2009-07,0.079,
2009-10,0.076,
2010-01,0.038,
2010-04,0.063,
2010-07,0.064,
2010-10,0.065,
2011-01,0.074,
2011-04,0.067,
2011-07,0.077,
2011-10,0.080,
2012-01,0.077,
2012-04,0.075,
2012-07,0.069,
2012-10,0.070,
2013-01,0.069,
2013-04,0.059,
2013-07,0.064,
2013-10,0.067,
2014-01,0.056,
2014-04,0.034,
2014-07,0.034,
