"",BBK01.OECL05K,BBK01.OECL05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:46,
2002-01,0.012,
2002-04,0.011,
2002-07,0.009,
2002-10,0.008,
2003-01,0.008,
2003-04,0.009,
2003-07,0.008,
2003-10,0.006,
2004-01,0.008,
2004-04,0.008,
2004-07,0.006,
2004-10,0.023,
2005-01,0.071,
2005-04,0.069,
2005-07,0.068,
2005-10,0.067,
2006-01,0.065,
2006-04,0.065,
2006-07,0.065,
2006-10,0.061,
2007-01,0.057,
2007-04,0.055,
2007-07,0.056,
2007-10,0.055,
2008-01,0.054,
2008-04,0.054,
2008-07,0.053,
2008-10,0.078,
2009-01,0.092,
2009-04,0.114,
2009-07,0.122,
2009-10,0.126,
2010-01,0.127,
2010-04,0.131,
2010-07,0.135,
2010-10,0.122,
2011-01,0.116,
2011-04,0.080,
2011-07,0.075,
2011-10,0.074,
2012-01,0.093,
2012-04,0.092,
2012-07,0.087,
2012-10,0.084,
2013-01,0.077,
2013-04,0.073,
2013-07,0.059,
2013-10,0.060,
2014-01,0.049,
2014-04,0.048,
2014-07,0.045,
