"",BBK01.OEAA20V,BBK01.OEAA20V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:09,
2002-01,0.016,
2002-04,0.019,
2002-07,0.028,
2002-10,0.036,
2003-01,0.036,
2003-04,0.036,
2003-07,0.048,
2003-10,0.030,
2004-01,0.039,
2004-04,0.048,
2004-07,0.035,
2004-10,0.028,
2005-01,0.027,
2005-04,0.025,
2005-07,0.035,
2005-10,0.033,
2006-01,0.026,
2006-04,0.031,
2006-07,0.030,
2006-10,0.030,
2007-01,0.025,
2007-04,0.028,
2007-07,0.021,
2007-10,0.017,
2008-01,0.016,
2008-04,0.014,
2008-07,0.012,
2008-10,0.013,
2009-01,0.014,
2009-04,0.012,
2009-07,0.012,
2009-10,0.013,
2010-01,0.011,
2010-04,0.012,
2010-07,0.012,
2010-10,0.016,
2011-01,0.011,
2011-04,0.012,
2011-07,0.015,
2011-10,0.015,
2012-01,0.014,
2012-04,0.017,
2012-07,0.014,
2012-10,0.013,
2013-01,0.014,
2013-04,0.013,
2013-07,0.015,
2013-10,0.011,
2014-01,0.008,
2014-04,0.010,
2014-07,0.007,
