"",BBK01.OEAE29P,BBK01.OEAE29P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:14,
2002-01,0.299,
2002-04,0.304,
2002-07,0.297,
2002-10,0.307,
2003-01,0.308,
2003-04,0.277,
2003-07,0.335,
2003-10,0.368,
2004-01,0.390,
2004-04,0.391,
2004-07,0.395,
2004-10,0.400,
2005-01,0.406,
2005-04,0.419,
2005-07,0.429,
2005-10,0.419,
2006-01,0.408,
2006-04,0.413,
2006-07,0.397,
2006-10,0.389,
2007-01,0.384,
2007-04,0.381,
2007-07,0.377,
2007-10,0.404,
2008-01,0.425,
2008-04,0.450,
2008-07,0.466,
2008-10,0.472,
2009-01,0.716,
2009-04,0.657,
2009-07,0.686,
2009-10,0.702,
2010-01,0.726,
2010-04,0.779,
2010-07,0.773,
2010-10,0.780,
2011-01,0.693,
2011-04,0.718,
2011-07,0.729,
2011-10,0.755,
2012-01,0.770,
2012-04,0.800,
2012-07,0.812,
2012-10,0.747,
2013-01,0.755,
2013-04,0.736,
2013-07,0.740,
2013-10,0.794,
2014-01,0.767,
2014-04,0.790,
2014-07,0.783,
