"",BBSF2.M.1.S.I0000.DAC01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.DAC01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Sales receipts / Domestic investors total / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:35,
2009-09,2670,
2009-10,594,
2009-11,240,
2009-12,887,
2010-01,187,
2010-02,334,
2010-03,321,
2010-04,329,
2010-05,124,
2010-06,74,
2010-07,355,
2010-08,3688,
2010-09,596,
2010-10,363,
2010-11,369,
2010-12,1740,
2011-01,341,
2011-02,109,
2011-03,287,
2011-04,201,
2011-05,414,
2011-06,416,
2011-07,319,
2011-08,211,
2011-09,759,
2011-10,504,
2011-11,206,
2011-12,1460,
2012-01,295,
2012-02,140,
2012-03,303,
2012-04,161,
2012-05,111,
2012-06,569,
2012-07,9027,
2012-08,66,
2012-09,33,
2012-10,878,
2012-11,79,
2012-12,1343,
2013-01,970,
2013-02,138,
2013-03,200,
2013-04,544,
2013-05,21,
2013-06,620,
2013-07,92,
2013-08,177,
2013-09,218,
2013-10,264,
2013-11,294,
2013-12,1413,
2014-01,78,
2014-02,256,
2014-03,655,
2014-04,368,
2014-05,105,
2014-06,589,
2014-07,523,
2014-08,461,
2014-09,347,
2014-10,379,
2014-11,705,
