"",BBK01.OEAF35K,BBK01.OEAF35K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:09,
2002-01,4.800,
2002-04,4.935,
2002-07,5.764,
2002-10,6.030,
2003-01,5.789,
2003-04,5.872,
2003-07,6.360,
2003-10,6.171,
2004-01,7.218,
2004-04,7.179,
2004-07,7.487,
2004-10,8.184,
2005-01,7.818,
2005-04,7.977,
2005-07,8.082,
2005-10,8.082,
2006-01,7.922,
2006-04,7.874,
2006-07,7.882,
2006-10,7.774,
2007-01,7.370,
2007-04,7.296,
2007-07,7.197,
2007-10,7.008,
2008-01,6.981,
2008-04,6.990,
2008-07,6.915,
2008-10,7.206,
2009-01,7.162,
2009-04,7.288,
2009-07,7.273,
2009-10,7.439,
2010-01,7.561,
2010-04,7.495,
2010-07,7.363,
2010-10,7.400,
2011-01,7.364,
2011-04,7.397,
2011-07,7.449,
2011-10,7.613,
2012-01,7.572,
2012-04,7.494,
2012-07,7.446,
2012-10,7.351,
2013-01,7.334,
2013-04,7.273,
2013-07,7.157,
2013-10,7.120,
2014-01,7.087,
2014-04,7.287,
2014-07,6.651,
