"",BBK01.OEAD40U,BBK01.OEAD40U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:53,
2002-01,0.180,
2002-04,0.179,
2002-07,0.173,
2002-10,0.171,
2003-01,0.167,
2003-04,0.160,
2003-07,0.159,
2003-10,0.157,
2004-01,0.153,
2004-04,0.151,
2004-07,0.143,
2004-10,0.148,
2005-01,0.141,
2005-04,0.142,
2005-07,0.136,
2005-10,0.145,
2006-01,0.135,
2006-04,0.132,
2006-07,0.129,
2006-10,0.128,
2007-01,0.130,
2007-04,0.136,
2007-07,0.135,
2007-10,0.138,
2008-01,0.131,
2008-04,0.130,
2008-07,0.138,
2008-10,0.143,
2009-01,0.138,
2009-04,0.147,
2009-07,0.147,
2009-10,0.144,
2010-01,0.146,
2010-04,0.139,
2010-07,0.138,
2010-10,0.135,
2011-01,0.134,
2011-04,0.134,
2011-07,0.134,
2011-10,0.129,
2012-01,0.131,
2012-04,0.130,
2012-07,0.129,
2012-10,0.128,
2013-01,0.129,
2013-04,0.128,
2013-07,0.131,
2013-10,0.131,
2014-01,0.134,
2014-04,0.130,
2014-07,0.128,
