"",BBK01.CEB230,BBK01.CEB230_FLAGS
"",Currency and deposits debtor: Monetary financial institutions                    creditor:  All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:13,
1991-01,2204.4,
1991-04,2241.0,
1991-07,2231.7,
1991-10,2313.5,
1992-01,2306.7,
1992-04,2335.6,
1992-07,2364.8,
1992-10,2428.6,
1993-01,2432.7,
1993-04,2489.1,
1993-07,2512.4,
1993-10,2659.7,
1994-01,2626.6,
1994-04,2656.2,
1994-07,2656.9,
1994-10,2761.5,
1995-01,2728.9,
1995-04,2770.0,
1995-07,2812.8,
1995-10,2951.3,
1996-01,2977.2,
1996-04,3017.3,
1996-07,3055.6,
1996-10,3216.1,
1997-01,3250.0,
1997-04,3334.5,
1997-07,3335.9,
1997-10,3484.5,
1998-01,3523.8,
1998-04,3610.8,
1998-07,3626.2,
1998-10,3811.5,
1999-01,3831.6,
1999-04,3890.3,
1999-07,3963.3,
1999-10,4064.5,
2000-01,4162.6,
2000-04,4146.2,
2000-07,4178.6,
2000-10,4308.7,
2001-01,4429.8,
2001-04,4438.3,
2001-07,4438.5,
2001-10,4434.1,
2002-01,4366.1,
2002-04,4375.5,
2002-07,4412.5,
2002-10,4511.5,
2003-01,4533.4,
2003-04,4577.7,
2003-07,4520.7,
2003-10,4558.1,
2004-01,4591.5,
2004-04,4626.6,
2004-07,4661.5,
2004-10,4707.1,
2005-01,4788.3,
2005-04,4862.2,
2005-07,4881.6,
2005-10,4898.9,
2006-01,4968.9,
2006-04,5038.0,
2006-07,5046.0,
2006-10,5113.3,
2007-01,5191.0,
2007-04,5253.3,
2007-07,5379.4,
2007-10,5566.9,
2008-01,5610.9,
2008-04,5627.3,
2008-07,5863.8,
2008-10,5952.5,
2009-01,5773.6,
2009-04,5890.2,
2009-07,5660.3,
2009-10,5614.1,
2010-01,5666.2,
2010-04,5922.9,
2010-07,5667.6,
2010-10,5705.1,
2011-01,5585.2,
2011-04,5564.8,
2011-07,5846.1,
2011-10,5881.3,
2012-01,6315.7,
2012-04,6422.5,
2012-07,6334.6,
2012-10,6086.2,
2013-01,5917.1,
2013-04,5868.1,
2013-07,5856.2,
2013-10,5767.1,
2014-01,5721.2,
