"",BBEX3.M.THB.USD.CA.AA.A01,BBEX3.M.THB.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Thailand / USD 1 = THB ... (buying),
unit,THB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:19,
1990-01,25.6700,
1990-02,25.7600,
1990-03,25.9400,
1990-04,25.9700,
1990-05,25.8000,
1990-06,25.7500,
1990-07,25.5800,
1990-08,25.4400,
1990-09,25.3000,
1990-10,25.0500,
1990-11,25.1400,
1990-12,25.2500,
1991-01,25.1100,
1991-02,25.2000,
1991-03,25.6100,
1991-04,25.6100,
1991-05,25.5900,
1991-06,25.6700,
1991-07,25.7100,
1991-08,25.6800,
1991-09,25.5000,
1991-10,25.5300,
1991-11,25.4400,
1991-12,25.2400,
1992-01,25.3600,
1992-02,25.4600,
1992-03,25.5600,
1992-04,25.5900,
1992-05,25.4400,
1992-06,25.2500,
1992-07,25.2700,
1992-08,25.0900,
1992-09,25.0500,
1992-10,25.3300,
1992-11,25.4700,
1992-12,25.4800,
1993-01,25.4500,
1993-02,25.3900,
1993-03,25.3200,
1993-04,25.1600,
1993-05,25.0900,
1993-06,25.2100,
1993-07,25.2500,
1993-08,25.1300,
1993-09,25.1600,
1993-10,25.3000,
1993-11,25.3800,
1993-12,25.5000,
1994-01,25.4400,
1994-02,25.2500,
1994-03,25.1900,
1994-04,25.1200,
1994-05,25.1600,
1994-06,24.9500,
1994-07,24.9900,
1994-08,24.9800,
1994-09,24.9300,
1994-10,24.8800,
1994-11,25.0100,
1994-12,25.0500,
1995-01,24.9800,
1995-02,24.9100,
1995-03,24.7000,
1995-04,24.5400,
1995-05,24.5900,
1995-06,24.6200,
1995-07,24.7100,
1995-08,25.0500,
1995-09,25.0600,
1995-10,25.1000,
1995-11,25.1200,
1995-12,25.1500,
1996-01,25.3100,
1996-02,25.1400,
1996-03,25.1900,
1996-04,25.1900,
1996-05,25.3000,
1996-06,25.3200,
1996-07,25.2300,
1996-08,25.2500,
1996-09,25.3800,
1996-10,25.4500,
1996-11,25.4700,
1996-12,25.5700,
1997-01,25.8300,
1997-02,25.8500,
1997-03,25.9300,
1997-04,26.0600,
1997-05,25.7600,
1997-06,25.7500,
1997-07,31.4239,comment
1997-08,34.0252,
1997-09,36.2811,
1997-10,39.5341,
1997-11,39.8712,
1997-12,47.0500,
1998-01,54.6158,
1998-02,42.5579,
1998-03,37.9388,
1998-04,38.5179,
1998-05,40.0270,
1998-06,42.1879,
1998-07,40.6250,
1998-08,41.7722,
1998-09,39.0921,
