"",BBK01.OEBJ02N,BBK01.OEBJ02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:12,
2002-01,19.304,
2002-04,20.639,
2002-07,21.349,
2002-10,25.067,
2003-01,24.058,
2003-04,22.659,
2003-07,22.427,
2003-10,25.759,
2004-01,25.162,
2004-04,22.920,
2004-07,22.560,
2004-10,20.501,
2005-01,22.128,
2005-04,23.732,
2005-07,22.816,
2005-10,24.756,
2006-01,22.675,
2006-04,24.474,
2006-07,22.660,
2006-10,26.452,
2007-01,25.262,
2007-04,25.633,
2007-07,27.297,
2007-10,26.262,
2008-01,26.338,
2008-04,26.201,
2008-07,27.251,
2008-10,30.635,
2009-01,31.607,
2009-04,36.152,
2009-07,36.560,
2009-10,40.032,
2010-01,33.495,
2010-04,33.972,
2010-07,35.183,
2010-10,35.679,
2011-01,32.863,
2011-04,37.705,
2011-07,35.001,
2011-10,43.752,
2012-01,37.057,
2012-04,40.934,
2012-07,36.205,
2012-10,38.804,
2013-01,37.229,
2013-04,38.368,
2013-07,39.863,
2013-10,40.149,
2014-01,39.243,
2014-04,37.073,
2014-07,39.742,
