"",BBK01.CEB103,BBK01.CEB103_FLAGS
"",Monetary gold and special drawing rights debtor: All sectors                     creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:04,
1991-01,7.1,
1991-04,7.1,
1991-07,7.1,
1991-10,7.1,
1992-01,7.2,
1992-04,7.2,
1992-07,7.1,
1992-10,6.3,
1993-01,6.3,
1993-04,6.4,
1993-07,6.4,
1993-10,6.4,
1994-01,6.4,
1994-04,6.4,
1994-07,6.4,
1994-10,6.5,
1995-01,7.1,
1995-04,7.1,
1995-07,7.1,
1995-10,7.1,
1996-01,7.1,
1996-04,7.1,
1996-07,7.1,
1996-10,7.1,
1997-01,7.1,
1997-04,7.1,
1997-07,7.1,
1997-10,7.1,
1998-01,7.2,
1998-04,7.3,
1998-07,7.2,
1998-10,8.9,
1999-01,27.9,
1999-04,28.3,
1999-07,31.9,
1999-10,32.6,
2000-01,32.5,
2000-04,33.9,
2000-07,35.1,
2000-10,32.9,
2001-01,32.9,
2001-04,35.7,
2001-07,35.7,
2001-10,35.3,
2002-01,38.8,
2002-04,35.7,
2002-07,36.5,
2002-10,36.5,
2003-01,34.3,
2003-04,33.5,
2003-07,36.6,
2003-10,36.6,
2004-01,38.4,
2004-04,35.9,
2004-07,36.8,
2004-10,35.6,
2005-01,36.5,
2005-04,40.0,
2005-07,43.5,
2005-10,48.1,
2006-01,53.3,
2006-04,52.1,
2006-07,52.4,
2006-10,53.3,
2007-01,55.0,
2007-04,53.0,
2007-07,57.3,
2007-10,62.6,
2008-01,65.3,
2008-04,65.1,
2008-07,69.0,
2008-10,68.4,
2009-01,76.0,
2009-04,73.1,
2009-07,75.0,
2009-10,84.1,
2010-01,90.3,
2010-04,110.9,
2010-07,105.2,
2010-10,115.6,
2011-01,109.8,
2011-04,113.8,
2011-07,131.8,
2011-10,132.7,
2012-01,135.5,
2012-04,135.7,
2012-07,149.9,
2012-10,137.0,
2013-01,135.9,
2013-04,99.6,
2013-07,107.0,
2013-10,94.2,
2014-01,101.5,
