"",BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / All sectors excluding General government / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:12,
1991-01,-340.549,
1991-02,-396.477,
1991-03,-426.903,
1991-04,-488.263,
1991-05,-504.330,
1991-06,-525.461,
1991-07,-591.674,
1991-08,-490.585,
1991-09,-555.320,
1991-10,-570.560,
1991-11,-532.289,
1991-12,-575.709,
1992-01,-526.787,
1992-02,-538.478,
1992-03,-581.823,
1992-04,-590.032,
1992-05,-515.864,
1992-06,-558.355,
1992-07,-637.964,
1992-08,-413.643,
1992-09,-561.306,
1992-10,-664.545,
1992-11,-512.782,
1992-12,-696.247,
1993-01,-553.668,
1993-02,-520.400,
1993-03,-569.584,
1993-04,-658.353,
1993-05,-623.726,
1993-06,-513.217,
1993-07,-627.700,
1993-08,-639.078,
1993-09,-533.439,
1993-10,-585.685,
1993-11,-634.565,
1993-12,-599.128,
1994-01,-596.430,
1994-02,-627.624,
1994-03,-610.117,
1994-04,-680.434,
1994-05,-665.019,
1994-06,-644.918,
1994-07,-621.035,
1994-08,-678.923,
1994-09,-638.485,
1994-10,-606.195,
1994-11,-627.083,
1994-12,-723.136,
1995-01,-669.537,
1995-02,-566.031,
1995-03,-711.873,
1995-04,-563.677,
1995-05,-587.275,
1995-06,-693.398,
1995-07,-645.841,
1995-08,-642.564,
1995-09,-705.037,
1995-10,-690.911,
1995-11,-652.677,
1995-12,-736.663,
1996-01,-673.922,
1996-02,-648.226,
1996-03,-681.663,
1996-04,-630.925,
1996-05,-683.091,
1996-06,-700.769,
1996-07,-648.530,
1996-08,-657.906,
1996-09,-683.987,
1996-10,-666.325,
1996-11,-719.561,
1996-12,-683.728,
1997-01,-778.966,
1997-02,-692.237,
1997-03,-635.673,
1997-04,-683.148,
1997-05,-624.971,
1997-06,-703.629,
1997-07,-710.022,
1997-08,-720.084,
1997-09,-679.862,
1997-10,-660.522,
1997-11,-728.312,
1997-12,-577.634,
1998-01,-706.520,
1998-02,-599.967,
1998-03,-683.239,
1998-04,-628.083,
1998-05,-742.576,
1998-06,-671.513,
1998-07,-794.849,
1998-08,-685.682,
1998-09,-712.953,
1998-10,-663.234,
1998-11,-653.359,
1998-12,-684.188,
1999-01,-622.382,
1999-02,-642.809,
1999-03,-593.258,
1999-04,-575.453,
1999-05,-697.142,
1999-06,-653.387,
1999-07,-642.862,
1999-08,-652.623,
1999-09,-593.968,
1999-10,-621.884,
1999-11,-658.039,
1999-12,-635.827,
2000-01,-1006.581,
2000-02,-702.749,
2000-03,-694.636,
2000-04,-700.041,
2000-05,-817.953,
2000-06,-783.764,
2000-07,-796.969,
2000-08,-653.901,
2000-09,-666.599,
2000-10,-770.921,
2000-11,-790.015,
2000-12,-720.620,
2001-01,-806.680,
2001-02,-926.611,
2001-03,-902.464,
2001-04,-906.134,
2001-05,-1044.595,
2001-06,-959.702,
2001-07,-634.217,
2001-08,-933.065,
2001-09,-511.056,
2001-10,-761.360,
2001-11,-754.946,
2001-12,-1024.646,
2002-01,-971.484,
2002-02,-1057.810,
2002-03,-764.597,
2002-04,-895.131,
2002-05,-962.733,
2002-06,-1391.091,
2002-07,-859.856,
2002-08,-554.571,
2002-09,-873.432,
2002-10,-1240.380,
2002-11,-834.781,
2002-12,-860.709,
2003-01,-822.575,
2003-02,-742.766,
2003-03,-775.868,
2003-04,-782.144,
2003-05,-932.157,
2003-06,-607.009,
2003-07,-840.515,
2003-08,-871.344,
2003-09,-1007.550,
2003-10,-750.510,
2003-11,-763.630,
2003-12,-723.758,
2004-01,-835.306,
2004-02,-747.583,
2004-03,-751.901,
2004-04,-946.382,
2004-05,-1061.536,
2004-06,-871.520,
2004-07,-1062.535,
2004-08,-807.745,
2004-09,-883.093,
2004-10,-741.023,
2004-11,-812.147,
2004-12,-1053.741,
2005-01,-916.657,
2005-02,-945.189,
2005-03,-870.072,
2005-04,-912.178,
2005-05,-1234.735,
2005-06,-947.629,
2005-07,-834.484,
2005-08,-995.943,
2005-09,-878.438,
2005-10,-904.030,
2005-11,-921.160,
2005-12,-705.889,
2006-01,-941.344,
2006-02,-869.629,
2006-03,-1095.060,
2006-04,-891.448,
2006-05,-1161.078,
2006-06,-1069.887,
2006-07,-1270.421,
2006-08,-920.847,
2006-09,-955.494,
2006-10,-963.914,
2006-11,-1059.057,
2006-12,-1313.912,
2007-01,-1003.152,
2007-02,-1262.248,
2007-03,-1122.106,
2007-04,-1297.624,
2007-05,-2398.609,
2007-06,-1261.833,
2007-07,-1109.302,
2007-08,-1178.037,
2007-09,-1136.006,
2007-10,-1202.119,
2007-11,-1230.072,
2007-12,-1161.677,
2008-01,-1357.590,
2008-02,-1079.034,
2008-03,-1211.886,
2008-04,-1250.205,
2008-05,-1234.166,
2008-06,-1785.662,
2008-07,-1355.297,
2008-08,-1623.699,
2008-09,-1155.730,
2008-10,-1321.993,
2008-11,-1078.003,
2008-12,-1737.646,
2009-01,-1407.028,
2009-02,-910.005,
2009-03,-1241.181,
2009-04,-1882.286,
2009-05,-1062.974,
2009-06,-930.872,
2009-07,-1215.282,
2009-08,-906.518,
2009-09,-977.533,
2009-10,-941.180,
2009-11,-1237.180,
2009-12,-1296.394,
2010-01,-1051.344,
