"",BBK01.OEXK03M,BBK01.OEXK03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:12,
2002-01,0.568,
2002-04,0.575,
2002-07,0.560,
2002-10,0.573,
2003-01,0.566,
2003-04,0.436,
2003-07,0.419,
2003-10,0.373,
2004-01,0.410,
2004-04,0.339,
2004-07,0.342,
2004-10,0.276,
2005-01,0.285,
2005-04,0.220,
2005-07,0.207,
2005-10,0.222,
2006-01,0.302,
2006-04,0.313,
2006-07,0.395,
2006-10,0.459,
2007-01,0.485,
2007-04,0.496,
2007-07,0.572,
2007-10,0.642,
2008-01,0.787,
2008-04,0.742,
2008-07,0.812,
2008-10,0.881,
2009-01,0.725,
2009-04,0.677,
2009-07,0.521,
2009-10,0.398,
2010-01,0.287,
2010-04,0.191,
2010-07,0.169,
2010-10,0.270,
2011-01,0.187,
2011-04,0.227,
2011-07,0.251,
2011-10,0.253,
2012-01,0.261,
2012-04,0.227,
2012-07,0.236,
2012-10,0.181,
2013-01,0.162,
2013-04,0.147,
2013-07,0.153,
2013-10,0.136,
2014-01,0.101,
2014-04,0.105,
2014-07,0.123,
