"",BBDE1.M.DE.Y.AEA1.N2C170000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.N2C170000.F.V.I10.A_FLAGS
"",Orders received / At current prices / Germany / 17 Manufacture of paper and paper products / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:32,
1991-01,69.5,
1991-02,68.2,
1991-03,67.6,
1991-04,67.1,
1991-05,66.2,
1991-06,66.8,
1991-07,66.7,
1991-08,63.9,
1991-09,64.1,
1991-10,65.6,
1991-11,65.3,
1991-12,64.1,
1992-01,66.7,
1992-02,66.1,
1992-03,65.5,
1992-04,64.7,
1992-05,65.5,
1992-06,61.9,
1992-07,62.3,
1992-08,63.5,
1992-09,61.5,
1992-10,61.4,
1992-11,60.8,
1992-12,60.8,
1993-01,60.6,
1993-02,59.5,
1993-03,59.8,
1993-04,58.2,
1993-05,57.7,
1993-06,60.0,
1993-07,58.4,
1993-08,58.4,
1993-09,56.3,
1993-10,57.0,
1993-11,58.1,
1993-12,60.6,
1994-01,58.2,
1994-02,59.8,
1994-03,61.0,
1994-04,61.4,
1994-05,62.1,
1994-06,62.1,
1994-07,62.1,
1994-08,63.5,
1994-09,65.9,
1994-10,66.7,
1994-11,68.3,
1994-12,74.2,
1995-01,69.1,
1995-02,73.4,
1995-03,71.9,
1995-04,72.8,
1995-05,72.2,
1995-06,72.9,
1995-07,69.6,
1995-08,68.4,
1995-09,69.4,
1995-10,69.7,
1995-11,67.9,
1995-12,66.4,
1996-01,68.3,
1996-02,66.6,
1996-03,67.9,
1996-04,68.0,
1996-05,68.5,
1996-06,67.7,
1996-07,69.5,
1996-08,68.6,
1996-09,71.3,
1996-10,69.6,
1996-11,67.9,
1996-12,67.2,
1997-01,70.2,
1997-02,70.8,
1997-03,69.9,
1997-04,68.1,
1997-05,69.3,
1997-06,69.5,
1997-07,72.0,
1997-08,73.3,
1997-09,71.0,
1997-10,74.9,
1997-11,74.0,
1997-12,73.2,
1998-01,72.8,
1998-02,71.3,
1998-03,69.9,
1998-04,71.9,
1998-05,70.5,
1998-06,70.4,
1998-07,70.1,
1998-08,70.8,
1998-09,67.2,
1998-10,65.9,
1998-11,66.2,
1998-12,69.8,
1999-01,68.4,
1999-02,68.6,
1999-03,70.2,
1999-04,69.9,
1999-05,70.2,
1999-06,70.0,
1999-07,72.8,
1999-08,76.4,
1999-09,74.4,
1999-10,73.9,
1999-11,75.8,
1999-12,76.5,
