"",BBFN1.M.DE.N.1.A.IL.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IL.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Israel,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:24,
1994-12,0.591,
1995-01,0.626,
1995-02,0.622,
1995-03,0.649,
1995-04,0.682,
1995-05,0.711,
1995-06,0.699,
1995-07,0.723,
1995-08,0.718,
1995-09,0.720,
1995-10,0.726,
1995-11,0.738,
1995-12,0.716,
1996-01,0.704,
1996-02,0.722,
1996-03,0.750,
1996-04,0.761,
1996-05,0.744,
1996-06,0.731,
1996-07,0.723,
1996-08,0.719,
1996-09,0.737,
1996-10,0.715,
1996-11,0.716,
1996-12,0.692,
1997-01,0.684,
1997-02,0.687,
1997-03,0.706,
1997-04,0.727,
1997-05,0.722,
1997-06,0.725,
1997-07,0.716,
1997-08,0.674,
1997-09,0.678,
1997-10,0.655,
1997-11,0.674,
1997-12,0.669,
1998-01,0.749,
1998-02,0.784,
1998-03,0.714,
1998-04,0.715,
1998-05,0.705,
1998-06,0.736,
1998-07,0.736,
1998-08,0.686,
1998-09,0.690,
1998-10,0.689,
1998-11,0.666,
1998-12,0.680,
1999-01,0.666,
1999-02,0.699,
1999-03,0.679,
1999-04,0.690,
1999-05,0.737,
1999-06,0.726,
1999-07,0.791,
1999-08,0.764,
1999-09,0.777,
1999-10,0.848,
1999-11,0.865,
1999-12,0.860,
2000-01,0.847,
2000-02,0.849,
2000-03,0.866,
2000-04,0.882,
2000-05,0.895,
2000-06,0.920,
2000-07,0.959,
2000-08,0.966,
2000-09,1.038,
2000-10,1.133,
2000-11,1.133,
2000-12,1.092,
2001-01,1.090,
2001-02,1.092,
2001-03,1.079,
2001-04,1.083,
2001-05,1.035,
2001-06,1.082,
2001-07,1.068,
2001-08,1.046,
2001-09,1.074,
2001-10,1.057,
2001-11,1.014,
2001-12,0.951,
2002-01,0.959,
2002-02,0.972,
2002-03,1.000,
2002-04,1.041,
2002-05,0.995,
2002-06,1.011,
2002-07,1.007,
2002-08,0.978,
2002-09,0.969,
2002-10,0.946,
2002-11,1.019,
2002-12,0.999,
2003-01,0.942,
2003-02,0.968,
2003-03,0.893,
2003-04,0.879,
2003-05,0.840,
2003-06,0.818,
2003-07,0.785,
2003-08,0.787,
2003-09,0.779,
2003-10,0.754,
2003-11,0.773,
2003-12,0.796,
2004-01,0.775,
2004-02,0.786,
2004-03,0.834,
2004-04,0.851,
2004-05,0.855,
2004-06,0.831,
2004-07,0.820,
2004-08,0.822,
2004-09,0.851,
2004-10,0.836,
2004-11,0.775,
2004-12,0.809,
2005-01,0.761,
2005-02,0.788,
2005-03,0.802,
2005-04,0.785,
2005-05,0.793,
2005-06,0.765,
2005-07,0.761,
2005-08,0.762,
2005-09,0.762,
2005-10,0.733,
2005-11,0.754,
2005-12,0.803,
2006-01,0.801,
2006-02,0.800,
2006-03,0.814,
2006-04,0.805,
2006-05,0.831,
2006-06,0.808,
2006-07,0.802,
2006-08,0.800,
2006-09,0.812,
2006-10,0.791,
2006-11,0.724,
2006-12,0.714,
2007-01,0.659,
2007-02,0.659,
2007-03,0.697,
2007-04,0.673,
2007-05,0.662,
2007-06,0.667,
2007-07,0.638,
2007-08,0.732,
2007-09,0.652,
2007-10,0.687,
2007-11,0.694,
2007-12,0.677,
2008-01,0.624,
2008-02,0.662,
2008-03,0.668,
2008-04,0.689,
2008-05,0.652,
2008-06,0.683,
2008-07,0.678,
2008-08,0.668,
2008-09,0.697,
2008-10,0.663,
2008-11,0.761,
2008-12,0.650,
2009-01,0.603,
2009-02,0.574,
2009-03,0.616,
2009-04,0.606,
2009-05,0.568,
2009-06,0.565,
2009-07,0.578,
2009-08,0.561,
2009-09,0.620,
2009-10,0.555,
2009-11,0.805,
2009-12,0.676,
2010-01,0.821,
2010-02,0.662,
2010-03,0.744,
2010-04,0.755,
2010-05,0.785,
2010-06,0.818,
2010-07,0.810,
2010-08,0.796,
2010-09,0.808,
2010-10,0.806,
2010-11,0.825,
2010-12,0.937,
2011-01,0.809,
2011-02,0.868,
2011-03,0.919,
2011-04,0.922,
2011-05,0.999,
2011-06,0.996,
2011-07,1.002,
2011-08,1.009,
2011-09,1.147,
2011-10,1.055,
2011-11,1.110,
2011-12,1.130,
2012-01,1.145,
2012-02,1.212,
2012-03,1.282,
2012-04,1.192,
2012-05,1.202,
2012-06,1.153,
2012-07,1.163,
2012-08,1.176,
2012-09,1.160,
2012-10,1.144,
2012-11,1.169,
2012-12,1.261,
2013-01,1.210,
2013-02,1.276,
2013-03,1.373,
2013-04,1.340,
2013-05,1.293,
2013-06,1.327,
2013-07,1.209,
2013-08,1.285,
2013-09,1.315,
2013-10,1.283,
2013-11,1.317,
2013-12,1.268,
2014-01,1.250,
2014-02,1.233,
2014-03,1.301,
2014-04,1.293,
2014-05,1.286,
2014-06,1.291,
2014-07,1.297,
2014-08,1.303,
2014-09,1.272,
2014-10,1.297,
2014-11,1.331,
2014-12,1.477,
