"",BBK01.OEHO04M,BBK01.OEHO04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:08,
2002-01,-0.114,
2002-04,-0.270,
2002-07,-0.111,
2002-10,-0.070,
2003-01,0.034,
2003-04,-0.288,
2003-07,-0.197,
2003-10,-0.022,
2004-01,-0.009,
2004-04,-0.173,
2004-07,-0.086,
2004-10,-0.029,
2005-01,-0.124,
2005-04,-0.258,
2005-07,-0.236,
2005-10,-0.238,
2006-01,-0.109,
2006-04,-0.294,
2006-07,-0.376,
2006-10,-0.522,
2007-01,-0.754,
2007-04,-0.525,
2007-07,-0.560,
2007-10,-0.324,
2008-01,-0.489,
2008-04,-0.402,
2008-07,-0.525,
2008-10,0.003,
2009-01,0.107,
2009-04,-0.292,
2009-07,-0.538,
2009-10,-0.121,
2010-01,0.232,
2010-04,0.061,
2010-07,-0.123,
2010-10,0.034,
2011-01,0.067,
2011-04,-0.047,
2011-07,-0.146,
2011-10,0.025,
2012-01,-0.013,
2012-04,-0.186,
2012-07,-0.199,
2012-10,-0.091,
2013-01,0.082,
2013-04,-0.011,
2013-07,-0.078,
2013-10,0.002,
2014-01,0.011,
2014-04,-0.132,
2014-07,-0.242,
