"",BBSF2.M.1.T.00000.GEM01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEM01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed securities funds / Deposits and loan claims,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:31,
2009-09,19638,
2009-10,18911,
2009-11,19076,
2009-12,18899,
2010-01,18673,
2010-02,17688,
2010-03,16240,
2010-04,15373,
2010-05,16373,
2010-06,16906,
2010-07,16462,
2010-08,16297,
2010-09,15969,
2010-10,14805,
2010-11,17418,
2010-12,16565,
2011-01,17246,
2011-02,19038,
2011-03,17601,
2011-04,17561,
2011-05,17930,
2011-06,18023,
2011-07,17896,
2011-08,21307,
2011-09,22957,
2011-10,23182,
2011-11,23725,
2011-12,22122,
2012-01,22864,
2012-02,20901,
2012-03,20101,
2012-04,19749,
2012-05,19888,
2012-06,20411,
2012-07,20539,
2012-08,19519,
2012-09,20472,
2012-10,20407,
2012-11,19707,
2012-12,19122,
2013-01,19131,
2013-02,20645,
2013-03,22510,
2013-04,23393,
2013-05,22833,
2013-06,23717,
2013-07,24240,
2013-08,23660,
2013-09,23297,
2013-10,24975,
2013-11,21240,
2013-12,22874,
2014-01,23084,
2014-02,24512,
2014-03,23556,
2014-04,23066,
2014-05,22723,
2014-06,20122,
2014-07,21292,
2014-08,24089,
2014-09,23463,
2014-10,23151,
2014-11,22130,
