"",BBK01.OEHK02U,BBK01.OEHK02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:34,
2002-01,0.394,
2002-04,0.405,
2002-07,0.420,
2002-10,0.442,
2003-01,0.415,
2003-04,0.426,
2003-07,0.444,
2003-10,0.449,
2004-01,0.427,
2004-04,0.428,
2004-07,0.444,
2004-10,0.476,
2005-01,0.435,
2005-04,0.448,
2005-07,0.461,
2005-10,0.481,
2006-01,0.454,
2006-04,0.465,
2006-07,0.484,
2006-10,0.515,
2007-01,0.490,
2007-04,0.496,
2007-07,0.511,
2007-10,0.530,
2008-01,0.499,
2008-04,0.503,
2008-07,0.516,
2008-10,0.554,
2009-01,0.546,
2009-04,0.569,
2009-07,0.619,
2009-10,0.664,
2010-01,0.630,
2010-04,0.641,
2010-07,0.662,
2010-10,0.699,
2011-01,0.682,
2011-04,0.685,
2011-07,0.721,
2011-10,0.738,
2012-01,0.723,
2012-04,0.741,
2012-07,0.748,
2012-10,0.766,
2013-01,0.734,
2013-04,0.741,
2013-07,0.777,
2013-10,0.813,
2014-01,0.797,
2014-04,0.813,
2014-07,0.843,
