"",BBSF2.M.1.T.00000.REN01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.REN01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Bonds funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:28,
2009-09,2342,
2009-10,2247,
2009-11,2310,
2009-12,2348,
2010-01,2233,
2010-02,2166,
2010-03,2286,
2010-04,2282,
2010-05,2207,
2010-06,2183,
2010-07,2193,
2010-08,2194,
2010-09,2361,
2010-10,2496,
2010-11,2455,
2010-12,2522,
2011-01,2490,
2011-02,2501,
2011-03,2413,
2011-04,2476,
2011-05,2332,
2011-06,2413,
2011-07,2281,
2011-08,1973,
2011-09,1880,
2011-10,2015,
2011-11,2011,
2011-12,2038,
2012-01,2119,
2012-02,2254,
2012-03,2262,
2012-04,2225,
2012-05,2091,
2012-06,2069,
2012-07,2125,
2012-08,2153,
2012-09,2216,
2012-10,2251,
2012-11,2340,
2012-12,2412,
2013-01,2456,
2013-02,2412,
2013-03,2436,
2013-04,2487,
2013-05,2551,
2013-06,2404,
2013-07,2510,
2013-08,2444,
2013-09,2653,
2013-10,2777,
2013-11,3065,
2013-12,4245,
2014-01,3994,
2014-02,3966,
2014-03,3871,
2014-04,3369,
2014-05,2952,
2014-06,2985,
2014-07,2654,
2014-08,2972,
2014-09,2983,
2014-10,3750,
2014-11,2938,
