"",BBK01.PQP361,BBK01.PQP361_FLAGS
"",Lending to domestic self-employed persons / Long-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:31,
1985-10,0.205,
1986-01,0.214,
1986-04,0.229,
1986-07,0.231,
1986-10,0.230,
1987-01,0.236,
1987-04,0.235,
1987-07,0.245,
1987-10,0.242,
1988-01,0.243,
1988-04,0.263,
1988-07,0.248,
1988-10,0.254,
1989-01,0.251,
1989-04,0.250,
1989-07,0.249,
1989-10,0.256,
1990-01,0.318,
1990-04,0.337,
1990-07,0.321,
1990-10,0.330,
1991-01,0.361,
1991-04,0.373,
1991-07,0.417,
1991-10,0.442,
1992-01,0.458,
1992-04,0.473,
1992-07,0.487,
1992-10,1.657,
1993-01,1.618,
1993-04,1.670,
1993-07,1.771,
1993-10,1.853,
1994-01,1.921,
1994-04,1.964,
1994-07,2.343,
1994-10,2.432,
1995-01,2.479,
1995-04,2.523,
1995-07,2.568,
1995-10,2.613,
1996-01,2.665,
1996-04,2.661,
1996-07,2.791,
1996-10,2.922,
1997-01,2.945,
1997-04,3.031,
1997-07,3.050,
1997-10,3.110,
1998-01,3.139,
1998-04,3.146,
1998-07,3.165,
1998-10,3.247,
1999-01,2.904,
1999-04,3.078,
1999-07,3.198,
1999-10,3.271,
2000-01,3.297,
2000-04,3.331,
2000-07,3.388,
2000-10,3.494,
2001-01,3.539,
2001-04,3.785,
2001-07,3.749,
2001-10,3.750,
2002-01,3.729,
2002-04,5.717,
2002-07,5.347,
2002-10,5.150,
2003-01,5.283,
2003-04,5.129,
2003-07,5.099,
2003-10,4.812,
2004-01,4.575,
2004-04,4.580,
2004-07,4.490,
2004-10,4.449,
2005-01,4.436,
2005-04,4.412,
2005-07,4.456,
2005-10,35.556,
2006-01,34.831,
2006-04,33.834,
2006-07,33.163,
2006-10,32.012,
2007-01,30.838,
2007-04,29.797,
2007-07,29.180,
2007-10,29.102,
2008-01,28.320,
2008-04,27.780,
2008-07,27.035,
2008-10,26.109,
2009-01,25.142,
2009-04,25.004,
2009-07,24.230,
2009-10,23.509,
2010-01,22.908,
2010-04,22.571,
2010-07,22.007,
2010-10,21.527,
2011-01,21.185,
2011-04,21.087,
2011-07,21.047,
2011-10,20.532,
2012-01,20.192,
2012-04,20.161,
2012-07,19.882,
2012-10,19.673,
2013-01,19.489,
2013-04,19.482,
2013-07,20.035,
2013-10,20.042,
2014-01,19.951,
2014-04,20.071,
2014-07,20.021,
2014-10,20.005,
