"",BBK01.OEAC45O,BBK01.OEAC45O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:22,
2002-01,0.289,
2002-04,0.281,
2002-07,0.280,
2002-10,0.273,
2003-01,0.278,
2003-04,0.283,
2003-07,0.280,
2003-10,0.262,
2004-01,0.256,
2004-04,0.254,
2004-07,0.237,
2004-10,0.227,
2005-01,0.223,
2005-04,0.226,
2005-07,0.235,
2005-10,0.232,
2006-01,0.237,
2006-04,0.231,
2006-07,0.227,
2006-10,0.224,
2007-01,0.219,
2007-04,0.218,
2007-07,0.208,
2007-10,0.205,
2008-01,0.208,
2008-04,0.211,
2008-07,0.223,
2008-10,0.221,
2009-01,0.223,
2009-04,0.231,
2009-07,0.223,
2009-10,0.217,
2010-01,0.221,
2010-04,0.220,
2010-07,0.224,
2010-10,0.218,
2011-01,0.224,
2011-04,0.231,
2011-07,0.227,
2011-10,0.230,
2012-01,0.235,
2012-04,0.234,
2012-07,0.232,
2012-10,0.234,
2013-01,0.230,
2013-04,0.232,
2013-07,0.231,
2013-10,0.223,
2014-01,0.218,
2014-04,0.219,
2014-07,0.215,
