"",BBK01.WXI040,BBK01.WXI040_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:15,
2009-01,312,
2009-02,261,
2009-03,287,
2009-04,79,
2009-05,92,
2009-06,107,
2009-07,103,
2009-08,77,
2009-09,78,
2009-10,100,
2009-11,81,
2009-12,77,
2010-01,86,
2010-02,64,
2010-03,68,
2010-04,84,
2010-05,89,
2010-06,109,
2010-07,100,
2010-08,91,
2010-09,70,
2010-10,60,
2010-11,88,
2010-12,63,
2011-01,293,
2011-02,100,
2011-03,75,
2011-04,69,
2011-05,90,
2011-06,77,
2011-07,103,
2011-08,94,
2011-09,117,
2011-10,149,
2011-11,128,
2011-12,66,
2012-01,82,
2012-02,63,
2012-03,77,
2012-04,70,
2012-05,78,
2012-06,63,
2012-07,51,
2012-08,51,
2012-09,55,
2012-10,65,
2012-11,54,
2012-12,53,
2013-01,81,
2013-02,82,
2013-03,41,
2013-04,42,
2013-05,63,
2013-06,78,
2013-07,39,
2013-08,41,
2013-09,49,
2013-10,32,
2013-11,46,
2013-12,47,
2014-01,48,
2014-02,34,
2014-03,25,
2014-04,53,
2014-05,25,
2014-06,32,
2014-07,29,
2014-08,21,
2014-09,25,
2014-10,19,
2014-11,21,
