"",BBK01.OECL02M,BBK01.OECL02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:27,
2002-01,1.007,
2002-04,1.258,
2002-07,1.201,
2002-10,1.289,
2003-01,1.302,
2003-04,1.287,
2003-07,1.269,
2003-10,1.338,
2004-01,1.266,
2004-04,1.329,
2004-07,1.251,
2004-10,1.411,
2005-01,2.791,
2005-04,2.850,
2005-07,2.818,
2005-10,2.866,
2006-01,2.917,
2006-04,2.930,
2006-07,2.848,
2006-10,2.903,
2007-01,2.918,
2007-04,3.138,
2007-07,3.085,
2007-10,3.199,
2008-01,3.355,
2008-04,3.085,
2008-07,3.234,
2008-10,3.816,
2009-01,4.075,
2009-04,4.149,
2009-07,4.205,
2009-10,4.330,
2010-01,4.402,
2010-04,4.537,
2010-07,4.602,
2010-10,4.588,
2011-01,4.573,
2011-04,4.600,
2011-07,4.688,
2011-10,4.642,
2012-01,4.733,
2012-04,4.919,
2012-07,4.990,
2012-10,5.077,
2013-01,5.139,
2013-04,5.262,
2013-07,5.292,
2013-10,5.423,
2014-01,5.438,
2014-04,5.575,
2014-07,5.657,
