"",BBFB1.Q.N.DE.U3.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:06,
1991-01,4443.710,
1991-04,3956.791,
1991-07,4059.328,
1991-10,4849.446,
1992-01,4606.226,
1992-04,4220.548,
1992-07,4558.888,
1992-10,4659.374,
1993-01,4622.883,
1993-04,4775.498,
1993-07,4784.557,
1993-10,5874.101,
1994-01,5064.641,
1994-04,4739.330,
1994-07,5038.527,
1994-10,5883.214,
1995-01,5252.663,
1995-04,4493.740,
1995-07,4890.064,
1995-10,5671.340,
1996-01,5519.875,
1996-04,5537.274,
1996-07,3596.102,
1996-10,5140.640,
1997-01,7202.056,
1997-04,4358.109,
1997-07,5482.209,
1997-10,3824.827,
1998-01,8695.589,
1998-04,4219.817,
1998-07,5341.175,
1998-10,5232.259,
1999-01,6478.361,
1999-04,4753.410,
1999-07,5992.959,
1999-10,5405.707,
2000-01,7709.991,
2000-04,6973.021,
2000-07,6307.942,
2000-10,7518.468,
2001-01,6255.109,
2001-04,6030.957,
2001-07,4493.842,
2001-10,5040.832,
2002-01,7089.423,
2002-04,6603.131,
2002-07,4411.154,
2002-10,5620.290,
2003-01,7579.137,
2003-04,7754.679,
2003-07,7808.046,
2003-10,6238.105,
2004-01,7952.805,
2004-04,6258.981,
2004-07,6744.007,
2004-10,4951.031,
2005-01,8317.774,
2005-04,4644.716,
2005-07,5579.081,
2005-10,4557.167,
2006-01,8568.162,
2006-04,5024.628,
2006-07,6833.665,
2006-10,6638.653,
2007-01,8618.019,
2007-04,4583.296,
2007-07,5464.058,
2007-10,6583.595,
2008-01,8562.986,
2008-04,4901.475,
2008-07,4612.115,
2008-10,7425.479,
2009-01,8142.428,
2009-04,5328.753,
2009-07,5470.324,
2009-10,9000.737,
2010-01,10648.152,
2010-04,5540.447,
2010-07,7527.968,
2010-10,8106.076,
2011-01,11088.065,
2011-04,6618.075,
2011-07,8201.377,
2011-10,8692.184,
2012-01,13517.892,
2012-04,8682.148,
2012-07,8817.228,
2012-10,9225.818,
2013-01,15711.217,
2013-04,10989.113,
2013-07,11109.010,
2013-10,11557.601,
2014-01,15265.117,Provisional value
2014-04,10465.142,Provisional value
2014-07,8206.650,Provisional value
