"",BBK01.OELL01Q,BBK01.OELL01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:42,
2002-01,7.282,
2002-04,7.242,
2002-07,7.218,
2002-10,7.391,
2003-01,7.281,
2003-04,6.869,
2003-07,7.237,
2003-10,7.246,
2004-01,7.169,
2004-04,7.184,
2004-07,7.092,
2004-10,7.185,
2005-01,7.124,
2005-04,7.100,
2005-07,7.142,
2005-10,7.208,
2006-01,7.127,
2006-04,7.061,
2006-07,7.260,
2006-10,7.047,
2007-01,6.955,
2007-04,6.931,
2007-07,6.898,
2007-10,7.040,
2008-01,6.991,
2008-04,6.946,
2008-07,6.724,
2008-10,7.170,
2009-01,7.177,
2009-04,7.305,
2009-07,7.349,
2009-10,7.592,
2010-01,7.709,
2010-04,7.815,
2010-07,7.897,
2010-10,8.006,
2011-01,7.949,
2011-04,8.002,
2011-07,8.048,
2011-10,8.188,
2012-01,8.209,
2012-04,8.288,
2012-07,8.381,
2012-10,8.521,
2013-01,8.648,
2013-04,8.677,
2013-07,8.743,
2013-10,8.853,
2014-01,8.822,
2014-04,8.824,
2014-07,8.857,
