"",BBFB1.Q.N.DE.F1.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:02,
1991-01,-1.204,
1991-04,-1.246,
1991-07,-0.491,
1991-10,-0.814,
1992-01,3.863,
1992-04,3.820,
1992-07,3.893,
1992-10,19.264,
1993-01,4.463,
1993-04,-4.662,
1993-07,4.557,
1993-10,-4.610,
1994-01,0.423,
1994-04,0.185,
1994-07,0.105,
1994-10,0.068,
1995-01,0.015,
1995-04,4.165,
1995-07,13.815,
1995-10,41.542,
1996-01,33.846,
1996-04,-72.195,
1996-07,97.705,
1996-10,15.955,
1997-01,196.614,
1997-04,131.739,
1997-07,-156.964,
1997-10,-96.793,
1998-01,59.058,
1998-04,-45.067,
1998-07,-1.523,
1998-10,23.057,
1999-01,28.820,
1999-04,-27.954,
1999-07,-19.769,
1999-10,33.565,
2000-01,123.246,
2000-04,51.222,
2000-07,42.620,
2000-10,46.561,
2001-01,1779.683,
2001-04,-46.487,
2001-07,14.741,
2001-10,-90.761,
2002-01,-11.542,
2002-04,-248.601,
2002-07,27.005,
2002-10,6.025,
2003-01,-105.974,
2003-04,73.814,
2003-07,58.539,
2003-10,43.770,
2004-01,-84.816,
2004-04,111.124,
2004-07,25.864,
2004-10,63.313,
2005-01,66.248,
2005-04,-21.194,
2005-07,164.344,
2005-10,39.003,
2006-01,115.168,
2006-04,-61.693,
2006-07,27.057,
2006-10,126.099,
2007-01,-61.256,
2007-04,-209.314,
2007-07,153.437,
2007-10,74.178,
2008-01,168.098,
2008-04,157.093,
2008-07,-83.593,
2008-10,218.103,
2009-01,22.166,
2009-04,-166.557,
2009-07,124.271,
2009-10,-153.761,
2010-01,137.474,
2010-04,-136.656,
2010-07,60.127,
2010-10,-28.552,
2011-01,30.592,
2011-04,1.538,
2011-07,-7.666,
2011-10,178.855,
2012-01,-71.542,
2012-04,170.586,
2012-07,29.175,
2012-10,74.243,
2013-01,208.457,
2013-04,-44.425,
2013-07,-54.946,
2013-10,57.606,
2014-01,151.160,Provisional value
2014-04,125.679,Provisional value
2014-07,44.642,Provisional value
2014-10,145.602,Provisional value
