"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.JP.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.JP.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Japan,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:33,
2009-09,472,
2009-10,461,
2009-11,500,
2009-12,484,
2010-01,531,
2010-02,563,
2010-03,514,
2010-04,474,
2010-05,511,
2010-06,516,
2010-07,505,
2010-08,505,
2010-09,460,
2010-10,452,
2010-11,453,
2010-12,440,
2011-01,434,
2011-02,436,
2011-03,361,
2011-04,349,
2011-05,333,
2011-06,329,
2011-07,355,
2011-08,367,
2011-09,370,
2011-10,369,
2011-11,451,
2011-12,472,
2012-01,483,
2012-02,408,
2012-03,377,
2012-04,412,
2012-05,437,
2012-06,408,
2012-07,433,
2012-08,438,
2012-09,415,
2012-10,395,
2012-11,375,
2012-12,357,
2013-01,247,
2013-02,252,
2013-03,251,
2013-04,229,
2013-05,205,
2013-06,238,
2013-07,238,
2013-08,235,
2013-09,231,
2013-10,190,
2013-11,174,
2013-12,167,
2014-01,171,
2014-02,163,
2014-03,183,
2014-04,179,
2014-05,162,
2014-06,160,
2014-07,160,
2014-08,141,
2014-09,142,
2014-10,144,
2014-11,146,
