"",BBK01.OEAH32S,BBK01.OEAH32S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:19,
2002-01,0.896,
2002-04,0.881,
2002-07,0.877,
2002-10,0.848,
2003-01,0.772,
2003-04,0.763,
2003-07,0.755,
2003-10,0.778,
2004-01,0.686,
2004-04,0.612,
2004-07,0.595,
2004-10,0.721,
2005-01,0.638,
2005-04,0.611,
2005-07,0.621,
2005-10,0.702,
2006-01,0.760,
2006-04,0.771,
2006-07,0.820,
2006-10,0.917,
2007-01,0.993,
2007-04,1.053,
2007-07,1.080,
2007-10,1.116,
2008-01,1.195,
2008-04,1.197,
2008-07,1.317,
2008-10,1.184,
2009-01,0.830,
2009-04,0.744,
2009-07,0.595,
2009-10,0.564,
2010-01,0.575,
2010-04,0.577,
2010-07,0.574,
2010-10,0.656,
2011-01,0.765,
2011-04,0.770,
2011-07,0.753,
2011-10,1.038,
2012-01,1.058,
2012-04,1.112,
2012-07,1.062,
2012-10,1.017,
2013-01,0.754,
2013-04,1.036,
2013-07,0.941,
2013-10,0.907,
2014-01,0.958,
2014-04,0.961,
2014-07,0.947,
