"",BBSF2.M.1.S.00000.IMM01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:42,
2009-09,1539,
2009-10,1555,
2009-11,1621,
2009-12,1718,
2010-01,1740,
2010-02,1749,
2010-03,1694,
2010-04,1622,
2010-05,1653,
2010-06,1649,
2010-07,1645,
2010-08,1642,
2010-09,1645,
2010-10,1628,
2010-11,1655,
2010-12,1660,
2011-01,1671,
2011-02,1692,
2011-03,1705,
2011-04,1667,
2011-05,1703,
2011-06,1614,
2011-07,1580,
2011-08,1575,
2011-09,1586,
2011-10,1943,
2011-11,1877,
2011-12,2071,
2012-01,2087,
2012-02,2087,
2012-03,2057,
2012-04,2080,
2012-05,2065,
2012-06,2088,
2012-07,2082,
2012-08,2095,
2012-09,2162,
2012-10,2224,
2012-11,2384,
2012-12,2375,
2013-01,2514,
2013-02,2670,
2013-03,2697,
2013-04,3130,
2013-05,2728,
2013-06,2694,
2013-07,2696,
2013-08,2820,
2013-09,2810,
2013-10,2801,
2013-11,2710,
2013-12,2687,
2014-01,2737,
2014-02,2725,
2014-03,2925,
2014-04,2873,
2014-05,2906,
2014-06,3089,
2014-07,3031,
2014-08,3071,
2014-09,3024,
2014-10,2433,
2014-11,3109,
