"",BBK01.OEAB01K,BBK01.OEAB01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:57,
2002-01,150.527,
2002-04,149.440,
2002-07,153.385,
2002-10,154.408,
2003-01,150.770,
2003-04,145.823,
2003-07,147.505,
2003-10,147.201,
2004-01,148.606,
2004-04,160.304,
2004-07,159.606,
2004-10,157.195,
2005-01,153.590,
2005-04,155.115,
2005-07,156.744,
2005-10,159.828,
2006-01,160.347,
2006-04,160.958,
2006-07,163.476,
2006-10,161.999,
2007-01,156.403,
2007-04,159.217,
2007-07,160.804,
2007-10,159.846,
2008-01,166.886,
2008-04,168.733,
2008-07,175.690,
2008-10,179.428,
2009-01,180.681,
2009-04,182.221,
2009-07,179.839,
2009-10,168.904,
2010-01,168.964,
2010-04,173.183,
2010-07,174.647,
2010-10,176.001,
2011-01,171.663,
2011-04,169.658,
2011-07,181.779,
2011-10,180.287,
2012-01,177.199,
2012-04,180.522,
2012-07,180.730,
2012-10,175.257,
2013-01,174.803,
2013-04,175.008,
2013-07,172.227,
2013-10,161.257,
2014-01,160.653,
2014-04,161.941,
2014-07,162.568,
