"",BBSF2.M.1.P.00000.GEF01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.P.00000.GEF01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Public funds / Mixed funds / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:59,
2004-01,923,
2004-02,923,
2004-03,924,
2004-04,925,
2004-05,926,
2004-06,927,
2004-07,908,
2004-08,911,
2004-09,871,
2004-10,874,
2004-11,875,
2004-12,864,
2005-01,854,
2005-02,855,
2005-03,857,
2005-04,855,
2005-05,866,
2005-06,857,
2005-07,858,
2005-08,962,
2005-09,1054,
2005-10,1086,
2005-11,1132,
2005-12,1208,
2006-01,1380,
2006-02,1514,
2006-03,1698,
2006-04,1765,
2006-05,1778,
2006-06,1811,
2006-07,1894,
2006-08,2083,
2006-09,2143,
2006-10,2195,
2006-11,2257,
2006-12,2341,
2007-01,2482,
2007-02,2737,
2007-03,2644,
2007-04,2780,
2007-05,2929,
2007-06,3053,
2007-07,3140,
2007-08,3209,
2007-09,3262,
2007-10,3440,
2007-11,3603,
2007-12,3551,
2008-01,3677,
2008-02,4211,
2008-03,4543,
2008-04,5245,
2008-05,5905,
2008-06,6121,
2008-07,6294,
2008-08,6505,
2008-09,6702,
2008-10,5965,
2008-11,5992,
2008-12,6180,
2009-01,6332,
2009-02,6090,
2009-03,6078,
2009-04,5327,
2009-05,5755,
2009-06,5687,
2009-07,5864,
2009-08,6322,
2009-09,7191,
2009-10,7139,
2009-11,7297,
2009-12,7581,
2010-01,7736,
2010-02,7913,
2010-03,8351,
2010-04,8489,
2010-05,8172,
2010-06,8082,
2010-07,8100,
2010-08,8204,
2010-09,8382,
2010-10,8586,
2010-11,8709,
2010-12,9012,
2011-01,8959,
2011-02,8930,
2011-03,8819,
2011-04,8991,
2011-05,9047,
2011-06,8713,
2011-07,8288,
2011-08,7665,
2011-09,7519,
2011-10,7743,
2011-11,7582,
2011-12,7781,
2012-01,8083,
2012-02,8141,
2012-03,8303,
2012-04,8248,
2012-05,8075,
2012-06,8067,
2012-07,8317,
2012-08,8245,
2012-09,8285,
2012-10,8409,
2012-11,8172,
2012-12,8218,
2013-01,8317,
2013-02,8438,
2013-03,8577,
2013-04,8714,
2013-05,8827,
2013-06,8441,
2013-07,8301,
2013-08,8112,
2013-09,8246,
2013-10,8005,
2013-11,7922,
2013-12,7285,
2014-01,6965,
2014-02,6951,
2014-03,6794,
2014-04,6804,
2014-05,6844,
2014-06,6955,
2014-07,6994,
2014-08,6761,
2014-09,6692,
2014-10,6358,
2014-11,6496,
