"",BBDA1.M.DE.N.EX.S.A.F1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.F1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Africa / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:40,
1993-01,618238,
1993-02,612350,
1993-03,646922,
1993-04,541730,
1993-05,508122,
1993-06,646598,
1993-07,633949,
1993-08,561255,
1993-09,579816,
1993-10,565164,
1993-11,603237,
1993-12,772054,
1994-01,552055,
1994-02,554593,
1994-03,600161,
1994-04,577078,
1994-05,658663,
1994-06,726659,
1994-07,573030,
1994-08,662652,
1994-09,584777,
1994-10,547057,
1994-11,691535,
1994-12,745821,
1995-01,587169,
1995-02,595360,
1995-03,675791,
1995-04,523927,
1995-05,660068,
1995-06,715210,
1995-07,690353,
1995-08,659469,
1995-09,628561,
1995-10,658826,
1995-11,988812,
1995-12,686667,
1996-01,577709,
1996-02,570248,
1996-03,623654,
1996-04,637433,
1996-05,681872,
1996-06,644343,
1996-07,791115,
1996-08,621606,
1996-09,626042,
1996-10,719164,
1996-11,734166,
1996-12,603552,
1997-01,612061,
1997-02,580737,
1997-03,664332,
1997-04,712782,
1997-05,680095,
1997-06,833699,
1997-07,975219,
1997-08,645177,
1997-09,895362,
1997-10,810393,
1997-11,699697,
1997-12,816300,
1998-01,613476,
1998-02,708702,
1998-03,830551,
1998-04,676748,
1998-05,782481,
1998-06,775617,
1998-07,971097,
1998-08,744639,
1998-09,821057,
1998-10,941436,
1998-11,820037,
1998-12,860313,
1999-01,630517,
1999-02,646605,
1999-03,958156,
1999-04,794296,
1999-05,792984,
1999-06,850537,
1999-07,899818,
1999-08,966561,
1999-09,842841,
1999-10,817975,
1999-11,871511,
1999-12,923722,
2000-01,726882,
2000-02,758622,
2000-03,830233,
2000-04,803731,
2000-05,956518,
2000-06,955863,
2000-07,803078,
2000-08,859947,
2000-09,892764,
2000-10,911116,
2000-11,996804,
2000-12,939677,
2001-01,821560,
2001-02,866989,
2001-03,965626,
2001-04,1088558,
2001-05,1127541,
2001-06,1009914,
2001-07,1074834,
2001-08,1000511,
2001-09,928519,
2001-10,1092696,
2001-11,1137553,
2001-12,927874,
2002-01,913697,
2002-02,941633,
2002-03,1116497,
2002-04,1096139,
2002-05,951049,
2002-06,1080674,
2002-07,1057832,
2002-08,977862,
2002-09,984781,
2002-10,974026,
2002-11,900893,
2002-12,801578,
2003-01,1031272,
2003-02,889892,
2003-03,920811,
2003-04,998724,
2003-05,1030951,
2003-06,967685,
2003-07,1262308,
2003-08,1013497,
2003-09,957964,
2003-10,1087202,
2003-11,959049,
2003-12,952396,
2004-01,948942,
2004-02,1042660,
2004-03,1074007,
2004-04,1264777,
2004-05,1033592,
2004-06,1199339,
2004-07,1296900,
2004-08,1281679,
2004-09,1169387,
2004-10,1097954,
2004-11,1131139,
2004-12,1245024,
2005-01,1148535,
2005-02,1041326,
2005-03,1194368,
2005-04,1205533,
2005-05,1212162,
2005-06,1296909,
2005-07,1332540,
2005-08,1264312,
2005-09,1268567,
2005-10,1405282,
2005-11,1161284,
2005-12,1276105,
2006-01,1179452,
2006-02,1293994,
2006-03,1329540,
2006-04,1266700,
2006-05,1361421,
2006-06,1237185,
2006-07,1391383,
2006-08,1349378,
2006-09,1568513,
2006-10,1533425,
2006-11,1528444,
2006-12,1577794,
2007-01,1357609,
2007-02,1373916,
2007-03,1488036,
2007-04,1438826,
2007-05,1480273,
2007-06,1470665,
2007-07,1471760,
2007-08,1582321,
2007-09,1471562,
2007-10,1566900,
2007-11,1458649,
2007-12,1414707,
2008-01,1520948,
2008-02,1637117,
2008-03,1486997,
2008-04,1737312,
2008-05,1573526,
2008-06,1710192,
2008-07,1744772,
2008-08,1586004,
2008-09,1712517,
2008-10,1872956,
2008-11,1525542,
2008-12,1528454,
2009-01,1319367,
2009-02,1456465,
2009-03,1510123,
2009-04,1307716,
2009-05,1298457,
2009-06,1426146,
2009-07,1655282,
2009-08,1402378,
2009-09,1422235,
2009-10,1566748,
2009-11,1495328,
2009-12,1552249,
2010-01,1267467,
2010-02,1489216,
2010-03,1877950,
2010-04,1597501,
2010-05,1611766,
2010-06,1861875,
2010-07,1865949,
2010-08,1725309,
2010-09,1764427,
2010-10,1606375,
2010-11,1641941,
2010-12,1658341,
2011-01,1591943,
2011-02,1641867,
2011-03,1812684,
2011-04,1645341,
2011-05,1759150,
2011-06,1716557,
2011-07,1810356,
2011-08,1719701,
2011-09,1840652,
2011-10,1669919,
2011-11,1712431,
2011-12,1796145,
2012-01,1579357,
2012-02,1659898,
2012-03,1983438,
2012-04,1722870,
2012-05,1773621,
2012-06,1904359,
2012-07,1932249,
2012-08,1913207,
2012-09,1800446,
2012-10,1917313,
2012-11,1838798,
2012-12,1894873,
2013-01,1694691,
2013-02,1810791,
2013-03,1992158,
2013-04,1978818,
2013-05,1913680,
2013-06,1968823,
2013-07,1972922,
2013-08,1700215,
2013-09,1687527,
2013-10,1735279,
2013-11,1615992,
2013-12,1731799,
2014-01,1557714,
2014-02,1818876,
2014-03,1830118,
2014-04,1860743,
2014-05,1896220,
2014-06,1921662,
2014-07,2010114,
2014-08,1669668,
2014-09,2076469,
2014-10,2085019,
2014-11,1851884,
2014-12,2023407,
