"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.FI.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.FI.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Finland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:58,
2009-09,3095,
2009-10,3224,
2009-11,3379,
2009-12,3469,
2010-01,3553,
2010-02,3620,
2010-03,3755,
2010-04,3854,
2010-05,4012,
2010-06,4144,
2010-07,4188,
2010-08,4338,
2010-09,4134,
2010-10,4062,
2010-11,4460,
2010-12,4440,
2011-01,4408,
2011-02,4165,
2011-03,4255,
2011-04,4658,
2011-05,5146,
2011-06,5425,
2011-07,6037,
2011-08,6538,
2011-09,6616,
2011-10,6825,
2011-11,6773,
2011-12,6911,
2012-01,7124,
2012-02,7248,
2012-03,7369,
2012-04,7765,
2012-05,8063,
2012-06,8148,
2012-07,8449,
2012-08,8604,
2012-09,8569,
2012-10,8392,
2012-11,8419,
2012-12,8528,
2013-01,8527,
2013-02,8537,
2013-03,8475,
2013-04,8551,
2013-05,8475,
2013-06,8525,
2013-07,8558,
2013-08,8765,
2013-09,8875,
2013-10,8942,
2013-11,8848,
2013-12,8912,
2014-01,9120,
2014-02,9492,
2014-03,9602,
2014-04,9815,
2014-05,10107,
2014-06,10149,
2014-07,9962,
2014-08,10027,
2014-09,9995,
2014-10,10004,
2014-11,9905,
