"",BBK01.WU8558,BBK01.WU8558_FLAGS
"",Term structure of interest rates on Pfandbriefe (method by Svensson) / residual maturity of 4.0 years / end of month,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:48,
2000-01,5.32,
2000-02,5.23,
2000-03,5.21,
2000-04,5.55,
2000-05,5.54,
2000-06,5.62,
2000-07,5.69,
2000-08,5.67,
2000-09,5.57,
2000-10,5.49,
2000-11,5.14,
2000-12,4.93,
2001-01,4.91,
2001-02,4.78,
2001-03,4.83,
2001-04,4.97,
2001-05,4.87,
2001-06,4.84,
2001-07,4.65,
2001-08,4.47,
2001-09,4.20,
2001-10,4.11,
2001-11,4.45,
2001-12,4.60,
2002-01,4.71,
2002-02,4.94,
2002-03,4.97,
2002-04,4.95,
2002-05,4.82,
2002-06,4.63,
2002-07,4.35,
2002-08,4.04,
2002-09,3.92,
2002-10,3.99,
2002-11,3.79,
2002-12,3.55,
2003-01,3.28,
2003-02,3.32,
2003-03,3.49,
2003-04,3.15,
2003-05,2.90,
2003-06,3.16,
2003-07,3.52,
2003-08,3.50,
2003-09,3.54,
2003-10,3.73,
2003-11,3.69,
2003-12,3.50,
2004-01,3.53,
2004-02,3.27,
2004-03,3.15,
2004-04,3.48,
2004-05,3.53,
2004-06,3.72,
2004-07,3.61,
2004-08,3.38,
2004-09,3.37,
2004-10,3.21,
2004-11,3.12,
2004-12,3.16,
2005-01,3.02,
2005-02,3.16,
2005-03,3.14,
2005-04,2.87,
2005-05,2.78,
2005-06,2.61,
2005-07,2.73,
2005-08,2.69,
2005-09,2.81,
2005-10,3.09,
2005-11,3.21,
2005-12,3.19,
2006-01,3.39,
2006-02,3.47,
2006-03,3.74,
2006-04,3.91,
2006-05,3.81,
2006-06,4.03,
2006-07,3.93,
2006-08,3.92,
2006-09,3.86,
2006-10,3.95,
2006-11,3.92,
2006-12,3.99,
2007-01,4.24,
2007-02,4.11,
2007-03,4.23,
2007-04,4.39,
2007-05,4.61,
2007-06,4.76,
2007-07,4.67,
2007-08,4.52,
2007-09,4.56,
2007-10,4.46,
2007-11,4.39,
2007-12,4.59,
2008-01,4.07,
2008-02,3.97,
2008-03,4.20,
2008-04,4.44,
2008-05,4.78,
2008-06,5.14,
2008-07,5.01,
2008-08,4.76,
2008-09,4.77,
2008-10,4.18,
2008-11,3.65,
2008-12,3.42,
2009-01,3.40,
2009-02,3.32,
2009-03,3.26,
2009-04,3.29,
2009-05,3.33,
2009-06,3.29,
2009-07,3.14,
2009-08,2.94,
2009-09,2.84,
2009-10,2.92,
2009-11,2.77,
2009-12,2.82,
2010-01,2.74,
2010-02,2.45,
2010-03,2.43,
2010-04,2.30,
2010-05,2.09,
2010-06,2.05,
2010-07,2.19,
2010-08,1.80,
2010-09,1.98,
2010-10,2.22,
2010-11,2.34,
2010-12,2.47,
2011-01,2.84,
2011-02,2.88,
2011-03,3.14,
2011-04,3.13,
2011-05,2.85,
2011-06,2.83,
2011-07,2.58,
2011-08,2.17,
2011-09,2.10,
2011-10,2.14,
2011-11,2.21,
2011-12,1.90,
2012-01,1.76,
2012-02,1.69,
2012-03,1.69,
2012-04,1.56,
2012-05,1.36,
2012-06,1.41,
2012-07,1.13,
2012-08,0.99,
2012-09,0.98,
2012-10,0.97,
2012-11,0.89,
2012-12,0.80,
2013-01,1.18,
2013-02,0.92,
2013-03,0.89,
2013-04,0.76,
2013-05,0.90,
2013-06,1.15,
2013-07,1.09,
2013-08,1.25,
2013-09,1.14,
2013-10,1.06,
2013-11,0.95,
2013-12,1.12,
2014-01,0.94,
2014-02,0.88,
2014-03,0.89,
2014-04,0.87,
2014-05,0.72,
2014-06,0.63,
2014-07,0.62,
2014-08,0.50,
2014-09,0.45,
2014-10,0.44,
2014-11,0.39,
2014-12,0.34,
2015-01,0.31,
