"",BBK01.OECI04R,BBK01.OECI04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:43,
2002-01,0.309,
2002-04,0.282,
2002-07,0.269,
2002-10,0.301,
2003-01,0.230,
2003-04,0.229,
2003-07,0.191,
2003-10,0.191,
2004-01,0.140,
2004-04,0.149,
2004-07,0.129,
2004-10,0.215,
2005-01,0.254,
2005-04,0.207,
2005-07,0.189,
2005-10,0.185,
2006-01,0.187,
2006-04,0.195,
2006-07,0.209,
2006-10,0.217,
2007-01,0.228,
2007-04,0.250,
2007-07,0.304,
2007-10,0.364,
2008-01,0.391,
2008-04,0.403,
2008-07,0.494,
2008-10,0.483,
2009-01,0.381,
2009-04,0.370,
2009-07,0.316,
2009-10,0.250,
2010-01,0.198,
2010-04,0.176,
2010-07,0.160,
2010-10,0.148,
2011-01,0.161,
2011-04,0.167,
2011-07,0.152,
2011-10,0.169,
2012-01,0.185,
2012-04,0.183,
2012-07,0.196,
2012-10,0.141,
2013-01,0.119,
2013-04,0.120,
2013-07,0.122,
2013-10,0.121,
2014-01,0.113,
2014-04,0.114,
2014-07,0.093,
