"",BBK01.OEAF25L,BBK01.OEAF25L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:20,
2002-01,3.416,
2002-04,3.352,
2002-07,3.324,
2002-10,3.359,
2003-01,3.887,
2003-04,3.903,
2003-07,3.844,
2003-10,3.791,
2004-01,3.873,
2004-04,4.114,
2004-07,4.151,
2004-10,4.181,
2005-01,4.131,
2005-04,4.209,
2005-07,4.202,
2005-10,3.712,
2006-01,3.635,
2006-04,4.028,
2006-07,4.026,
2006-10,3.960,
2007-01,3.846,
2007-04,3.916,
2007-07,3.941,
2007-10,3.875,
2008-01,3.888,
2008-04,4.072,
2008-07,3.931,
2008-10,3.705,
2009-01,3.964,
2009-04,3.941,
2009-07,4.130,
2009-10,4.982,
2010-01,4.958,
2010-04,5.075,
2010-07,4.717,
2010-10,3.915,
2011-01,4.897,
2011-04,4.589,
2011-07,4.880,
2011-10,4.897,
2012-01,4.342,
2012-04,4.524,
2012-07,4.810,
2012-10,4.820,
2013-01,4.800,
2013-04,4.864,
2013-07,4.997,
2013-10,4.975,
2014-01,4.926,
2014-04,4.757,
2014-07,4.725,
